log_scale,init,init_size_fraction,random_interleave_iter,rf_type,acqf,lambda,acqopt,epsilon_decay,lambda_decay,id,mean_k,n_na,n,timestamp,batch_nr,parameter,iteration
FALSE,random,0.25,0,standard,EI,,RS_1000,FALSE,,1,0.536995293770833,0,1286,2024-08-24T18:49:06.867314Z,1,,
FALSE,random,0.25,0,standard,EI,,RS_1000,FALSE,,1,0.557723420488092,0,1286,2024-08-24T20:58:45.872344Z,2,incumbent,2
TRUE,random,0.25,0,standard,EI,,RS_1000,FALSE,,2,0.667658021936713,0,1286,2024-08-24T20:58:45.872344Z,2,log_scale,2
FALSE,random,0.25,0,standard,EI,,RS_1000,FALSE,,3,0.547244947416791,0,1286,2024-08-24T20:58:45.872344Z,2,log_scale,2
FALSE,random,0.25,0,standard,EI,,RS_1000,FALSE,,4,0.552641885498883,0,1286,2024-08-24T20:58:45.872344Z,2,init,2
FALSE,lhs,0.25,0,standard,EI,,RS_1000,FALSE,,5,0.557474372075887,0,1286,2024-08-24T20:58:45.872344Z,2,init,2
FALSE,sobol,0.25,0,standard,EI,,RS_1000,FALSE,,6,0.561367701765701,0,1286,2024-08-24T20:58:45.872344Z,2,init,2
FALSE,random,0.05,0,standard,EI,,RS_1000,FALSE,,7,0.552606188267511,0,1286,2024-08-24T20:58:45.872344Z,2,init_size_fraction,2
FALSE,random,0.10,0,standard,EI,,RS_1000,FALSE,,8,0.551147925485226,0,1286,2024-08-24T20:58:45.872344Z,2,init_size_fraction,2
FALSE,random,0.25,0,standard,EI,,RS_1000,FALSE,,9,0.550917197993496,0,1286,2024-08-24T20:58:45.872344Z,2,init_size_fraction,2
FALSE,random,0.25,0,standard,EI,,RS_1000,FALSE,,10,0.544326148231515,0,1286,2024-08-24T20:58:45.872344Z,2,random_interleave_iter,2
FALSE,random,0.25,2,standard,EI,,RS_1000,FALSE,,11,0.491351402598733,0,1286,2024-08-24T20:58:45.872344Z,2,random_interleave_iter,2
FALSE,random,0.25,5,standard,EI,,RS_1000,FALSE,,12,0.519426874617039,0,1286,2024-08-24T20:58:45.872344Z,2,random_interleave_iter,2
FALSE,random,0.25,10,standard,EI,,RS_1000,FALSE,,13,0.542806218874272,0,1286,2024-08-24T20:58:45.872344Z,2,random_interleave_iter,2
FALSE,random,0.25,0,standard,EI,,RS_1000,FALSE,,14,0.560845086831351,0,1286,2024-08-24T20:58:45.872344Z,2,rf_type,2
FALSE,random,0.25,0,extratrees,EI,,RS_1000,FALSE,,15,0.528845317874339,0,1286,2024-08-24T20:58:45.872344Z,2,rf_type,2
FALSE,random,0.25,0,smaclike_boot,EI,,RS_1000,FALSE,,16,0.442241264102533,0,1286,2024-08-24T20:58:45.872344Z,2,rf_type,2
FALSE,random,0.25,0,smaclike_no_boot,EI,,RS_1000,FALSE,,17,0.445900822691487,0,1286,2024-08-24T20:58:45.872344Z,2,rf_type,2
FALSE,random,0.25,0,standard,PI,,RS_1000,,,18,0.566506537997242,0,1286,2024-08-24T20:58:45.872344Z,2,acqf,2
FALSE,random,0.25,0,standard,Mean,,RS_1000,,,19,0.283813702199436,0,1286,2024-08-24T20:58:45.872344Z,2,acqf,2
FALSE,random,0.25,0,standard,CB,1,RS_1000,,TRUE,20,0.443302919965015,0,1286,2024-08-24T20:58:45.872344Z,2,acqf,2
FALSE,random,0.25,0,standard,CB,3,RS_1000,,TRUE,21,0.558694891447605,0,1286,2024-08-24T20:58:45.872344Z,2,acqf,2
FALSE,random,0.25,0,standard,CB,10,RS_1000,,TRUE,22,0.352359353669577,0,1286,2024-08-24T20:58:45.872344Z,2,acqf,2
FALSE,random,0.25,0,standard,CB,1,RS_1000,,FALSE,23,0.436895411105527,0,1286,2024-08-24T20:58:45.872344Z,2,acqf,2
FALSE,random,0.25,0,standard,CB,3,RS_1000,,FALSE,24,0.548491207358104,0,1286,2024-08-24T20:58:45.872344Z,2,acqf,2
FALSE,random,0.25,0,standard,CB,10,RS_1000,,FALSE,25,0.361278279030818,0,1286,2024-08-24T20:58:45.872344Z,2,acqf,2
FALSE,random,0.25,0,standard,EI,,RS_1000,TRUE,,26,0.560187040154146,0,1286,2024-08-24T20:58:45.872344Z,2,acqf,2
FALSE,random,0.25,0,standard,EI,,RS_1000,FALSE,,27,0.556633059219935,0,1286,2024-08-24T20:58:45.872344Z,2,acqf,2
FALSE,random,0.25,0,standard,EI,,RS_1000,FALSE,,28,0.552718675859694,0,1286,2024-08-24T20:58:45.872344Z,2,acqopt,2
FALSE,random,0.25,0,standard,EI,,RS,FALSE,,29,0.577672572134263,0,1286,2024-08-24T20:58:45.872344Z,2,acqopt,2
FALSE,random,0.25,0,standard,EI,,FS,FALSE,,30,0.56585940976408,0,1286,2024-08-24T20:58:45.872344Z,2,acqopt,2
FALSE,random,0.25,0,standard,EI,,LS,FALSE,,31,0.500260868874221,0,1286,2024-08-24T20:58:45.872344Z,2,acqopt,2
