booster,nrounds,eta,gamma,lambda,alpha,subsample,max_depth,min_child_weight,colsample_bytree,colsample_bylevel,rate_drop,skip_drop,num.impute.selected.cpo,acc
gblinear,6.88496643071994,,,-6.57862692326307,-2.87679615151137,0.898641353938729,,,,,,,impute.median,0.980095386505127
dart,7.69977189181373,-0.874430508585647,-9.42778304684907,2.41017749765888,1.72315718000755,0.573049624147825,8,1.5600774679333,0.872103585887235,0.727065570654813,0.958058044780046,0.265705022262409,impute.hist,0.843336522579193
dart,6.99969825241715,-5.23401207383722,1.28662557527423,-5.2925203545019,6.38723953999579,0.411803125450388,10,3.26594994217157,0.794755482389592,0.835381540530361,0.315828101010993,0.8584211722482,impute.mean,0.0927586629986763
gblinear,5.67834868794307,,,-1.45708630792797,6.16380608873442,0.294715488771908,,,,,,,impute.mean,0.0990168079733849
gbtree,6.53518409188837,-5.41586693609133,-7.81411979068071,2.98499685712159,2.27394987596199,0.470498270564713,12,2.22269449010491,0.561172808979172,0.350492872919422,,,impute.hist,0.943098843097687
gblinear,3.09077395964414,,,4.50770219275728,-3.0074125174433,0.558325500716455,,,,,,,impute.mean,0.929228603839874
gbtree,7.26942624524236,-6.16013658908196,-1.53531876206398,-6.52427771408111,-1.56205571722239,0.470558752911165,6,3.73876787256449,0.656509308880195,0.799974332829006,,,impute.mean,0.919954359531403
gblinear,2.06818661326543,,,-0.73325111111626,-2.54326124303043,0.959396797674708,,,,,,,impute.hist,0.939409494400024
dart,7.15770965395495,-2.44434721884318,-6.43191884551197,-0.495151904411614,-6.77693557133898,0.301911304029636,8,3.95927240513265,0.25677164488472,0.782786838924512,0.0276474503334612,0.361807722365484,impute.mean,0.46251767873764
gbtree,6.99812323274091,-0.54680185392499,0.586213705129921,-6.61476344428957,-0.969312726985663,0.47756595921237,5,2.56231445539743,0.51156127645867,0.32394694816554,,,impute.mean,0.940951704978943
gblinear,7.76066448492929,,,-5.83170548547059,-6.04348925733939,0.587160544097424,,,,,,,impute.median,0.981399238109589
gbtree,6.87955697253346,-3.68542203889228,-3.78131613507867,6.09910033736378,-2.57537310989574,0.683826606185176,3,2.57900006696582,0.296769019195344,0.974130318162497,,,impute.mean,0.951878070831299
dart,5.63337126979604,-5.57076427037828,-4.08777152374387,-5.48677801713347,1.33087938884273,0.880606980994344,4,1.63170756213367,0.421199182725977,0.290815676976927,0.687222378095612,0.206371104810387,impute.hist,0.869129955768585
gblinear,6.35104915779084,,,5.47450025286526,-6.31306235631928,0.62849001234863,,,,,,,impute.mean,0.936856091022491
gbtree,4.6656258343719,-5.22830908722244,-7.26946848072112,-2.6217194115743,5.31923439307138,0.160512530733831,8,2.78223806619644,0.859905644920655,0.831100582664367,,,impute.median,0.0987881720066071
gbtree,6.40234809275717,-2.39630768820643,-4.17086990177631,3.59698929637671,-3.50547650596127,0.336747968406417,8,2.76725281681865,0.304405335965566,0.410261332113296,,,impute.hist,0.965454578399658
gbtree,5.50333793042228,-1.1257640698459,-0.856179231777787,2.11361325252801,-1.32016232190654,0.625786969484761,4,1.43079768773168,0.121500061624683,0.349664420089684,,,impute.median,0.979177951812744
gblinear,3.72080214228481,,,1.10946486052126,2.77372971363366,0.486933819158003,,,,,,,impute.hist,0.26593154668808
gblinear,5.40273441141471,,,1.87070037564263,5.14786682324484,0.678591054887511,,,,,,,impute.mean,0.101773299276829
dart,3.15291721653193,-3.14901105267927,-8.42430200427771,-0.167916189879179,-4.6200563730672,0.393456762144342,13,2.59792192559689,0.793599832414184,0.159027172813658,0.0954581964761019,0.680579516105354,impute.hist,0.909219205379486
dart,2.5336866909638,-4.07110493560322,-5.93593401368707,2.03273711400107,-2.00802998337895,0.967883709119633,8,3.66357143223286,0.855684749970678,0.988948790873401,0.645131151424721,0.431326786521822,impute.hist,0.659990906715393
gbtree,3.19969220226631,-3.76389815332368,-8.82404343225062,-5.56258871499449,-0.554762193933129,0.123533637146465,3,3.82409710716456,0.815323214007076,0.293404751836788,,,impute.hist,0.0963303819298744
gblinear,3.73053698940203,,,3.04764638887718,-0.13080623280257,0.614528587413952,,,,,,,impute.median,0.921781003475189
dart,2.61182510573417,-5.4076919821091,-8.9311881493777,3.95332342246547,4.42582779284567,0.750728355767205,14,2.16305213887244,0.640321342721582,0.422317865197547,0.740160248009488,0.0372769432142377,impute.mean,0.622160077095032
gblinear,5.09957646206021,,,-2.55286390148103,-4.01365955965593,0.22159303703811,,,,,,,impute.mean,0.976067721843719
gbtree,2.99621039396152,-1.54711906705052,-2.90876615047455,4.68720926484093,-6.26868145121262,0.893421592470259,2,3.21385610476136,0.773370474078693,0.507298096546438,,,impute.hist,0.933661162853241
gbtree,6.34373139869422,-2.28687287238427,0.253260055556893,2.82923805015162,2.77783662779257,0.776683813915588,9,2.35598510783166,0.705513914225157,0.3070174562186,,,impute.median,0.960030198097229
gbtree,6.2099699662067,-1.26112979836762,-9.39665732160211,5.21254198625684,2.23005351796746,0.584797705709934,1,4.81930798012763,0.885444681989029,0.0827303118747659,,,impute.median,0.0982638671994209
gblinear,7.60973349353299,,,-3.56616550777108,6.79116903804243,0.30479801974725,,,,,,,impute.median,0.0999900326132774
dart,5.94029791420326,-0.889661620603874,0.0435468582436442,4.26662229653448,-4.31096610380337,0.990655833180062,11,2.8252809420228,0.636337995873764,0.698886457087938,0.43277204898186,0.732039359165356,impute.mean,0.958544492721558
gbtree,5.14538371236995,-6.99529998819344,0.583782313391566,-1.46974097657949,6.58593403361738,0.377353470097296,12,4.40859586838633,0.696929796277545,0.435164544389118,,,impute.median,0.0938697978854179
dart,5.21393067622557,-5.66949317860417,-2.60153272282332,-3.08494320744649,-2.66976429941133,0.833947109733708,2,2.82566655334085,0.798651682296768,0.268165456780698,0.847878066590056,0.956447459058836,impute.hist,0.904231488704681
gbtree,2.30070065474138,-0.991243108408526,-7.02757976669818,2.24138347012922,-4.20169764151797,0.500545984646305,10,3.48906810116023,0.817854824864771,0.500803337760735,,,impute.median,0.91732782125473
gbtree,3.91666017659009,-4.07583564170636,-9.70422323420644,-1.72634032834321,-3.22714836942032,0.260802285070531,5,4.59423425793648,0.269004432733636,0.719616298694164,,,impute.mean,0.0925916209816933
dart,7.42694595456123,-3.53141035395674,-0.975934418849647,5.51598420832306,6.5523670129478,0.612102654040791,3,2.1221812274307,0.688771329708397,0.969892993927933,0.161918058758602,0.00189173151738942,impute.mean,0.177976667881012
gblinear,4.87219568528235,,,-4.34252514410764,1.36074798554182,0.93341530491598,,,,,,,impute.median,0.841100454330444
gbtree,2.86656076414511,-4.91259475797415,-0.812736537307501,6.62610626220703,0.541471076197922,0.909343416942284,13,1.8413294237107,0.119012118743267,0.794464801654685,,,impute.hist,0.914269268512726
gbtree,2.33208323502913,-0.109124631155282,-6.7549094799906,1.61603828007355,0.133303519338369,0.168260756367818,13,4.44372908212245,0.294592876364477,0.445320620739367,,,impute.mean,0.101409986615181
gblinear,7.04327831231058,,,-2.93602047162131,2.32476832019165,0.294240031810477,,,,,,,impute.hist,0.571307420730591
gblinear,2.2434816849418,,,5.96392186963931,6.84701915318146,0.294237387320027,,,,,,,impute.median,0.0935684144496918
dart,2.99172353185713,-6.17236554040574,-8.49311544559896,1.57945751398802,-1.94488153932616,0.642816416360438,12,2.08284456655383,0.143965133123565,0.0526120851794258,0.539882704382762,0.687534682219848,impute.mean,0.88951849937439
gbtree,4.01379768643528,-1.72421333566308,-1.45754033327103,-4.46842826250941,-2.81550003075972,0.642231711558998,1,3.57779349107295,0.317012002984993,0.908764000451192,,,impute.hist,0.944823682308197
dart,6.6699548130855,-1.24810660420917,0.699277364648879,-3.91172125656158,3.80066210404038,0.983865583222359,9,1.21007934771478,0.938202912325505,0.77017235948937,0.99721435434185,0.954960201168433,impute.median,0.888531625270844
gblinear,7.82233905678353,,,-6.14018374307088,-5.45373156819591,0.587585424664386,,,,,,,impute.median,0.980345904827118
gblinear,7.81455493831565,,,-1.90077083579461,-3.8872918828282,0.524723410851032,,,,,,,impute.median,0.977938652038574
gblinear,7.40406985360589,,,-3.78750679863043,-4.32992531646676,0.459040533937514,,,,,,,impute.median,0.981545269489288
gblinear,7.75145897628992,,,-3.7809432464558,-4.30419827577649,0.387013371422751,,,,,,,impute.median,0.980489909648895
gblinear,7.87181378813445,,,-4.31171163919678,-4.61461942130295,0.346892522991876,,,,,,,impute.median,0.980746150016785
gblinear,7.67518166230647,,,-3.93610185199918,-4.91733975693154,0.342818886979541,,,,,,,impute.median,0.982045233249664
gblinear,7.75917999690977,,,-4.41869056399135,-4.65454548941397,0.330747825787268,,,,,,,impute.median,0.981530249118805
gblinear,7.41369650113012,,,-5.33092260320663,-1.77436928057693,0.540719517780418,,,,,,,impute.median,0.969185173511505
gblinear,7.61298497009491,,,-6.41029830288203,-4.92201346256897,0.345717187105174,,,,,,,impute.median,0.981904745101929
gblinear,7.77903594395689,,,-3.45018955366686,-1.20423048918276,0.440778477528833,,,,,,,impute.median,0.962705492973328
gblinear,7.65026649170879,,,-3.34995717781945,-4.82100263331671,0.319686260791498,,,,,,,impute.median,0.981932878494263
