input_trafo,output_trafo,init,init_size_fraction,random_interleave_iter,trees,variance_estimator,acqf,lambda,epsilon_decay,lambda_decay,acqopt,parameter,iteration,id,mean_meta_score,n_na,n,batch_nr
none,none,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,input_trafo,1,1,0.371492748957058,0,14,1
unitcube,none,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,input_trafo,1,2,0.370904192846159,0,14,1
none,standardize,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,output_trafo,1,3,0.361021303639726,0,14,1
none,log,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,output_trafo,1,4,0.505114885018147,0,14,1
none,none,lhs,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,init,1,5,0.368715067775915,0,14,1
none,none,sobol,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,init,1,6,0.369627021773555,0,14,1
none,none,random,0.05,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,init_size_fraction,1,7,0.352050252698033,0,14,1
none,none,random,0.10,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,init_size_fraction,1,8,0.40689344370944,0,14,1
none,none,random,0.25,2,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,random_interleave_iter,1,9,0.311562229024629,0,14,1
none,none,random,0.25,4,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,random_interleave_iter,1,10,0.343699251864271,0,14,1
none,none,random,0.25,0,10,ensemble_standard_deviation,EI,,FALSE,,RS_1000,trees,1,11,0.311148318485908,0,14,1
none,none,random,0.25,0,500,jack,EI,,FALSE,,RS_1000,variance_estimator,1,12,0.376323118256591,0,14,1
none,none,random,0.25,0,500,law_of_total_variance,EI,,FALSE,,RS_1000,variance_estimator,1,13,0.378607627133661,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,PI,,,,RS_1000,acqf,1,14,0.472877633813054,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,Mean,,,,RS_1000,acqf,1,15,0.40061591718081,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,CB,1,,TRUE,RS_1000,acqf,1,16,0.456301659806277,0,14,1
