parameter,value,max_mean_meta_score
input_trafo,none,1.24
input_trafo,unitcube,1.22
output_trafo,none,1.2
output_trafo,standardize,1.2
output_trafo,log,1.24
init,random,1.23
init,lhs,1.24
init,sobol,1.23
init_size_fraction,0.25,1.23
init_size_fraction,0.05,1.24
init_size_fraction,0.1,1.23
random_interleave_iter,0,1.24
random_interleave_iter,2,1.2
random_interleave_iter,4,1.2
surrogate,gp,1.24
surrogate,rf,1.19
extratrees,TRUE,1.19
extratrees,FALSE,1.17
trees,10,1.19
trees,500,1.18
variance_estimator,jack,1.17
variance_estimator,ensemble_standard_deviation,1.19
variance_estimator,law_of_total_variance,1.17
kernel,gauss,1.19
kernel,matern3_2,1.24
kernel,matern5_2,1.22
kernel,exp,1.15
nugget,0,1.22
nugget,0.001,1.15
nugget,1e-08,1.24
scaling,FALSE,1.24
scaling,TRUE,1.15
acqf,EI,1.24
acqf,PI,0.92
acqf,Mean,1.1
acqf,CB,1.23
lambda,1,1.13
lambda,3,1.23
lambda,10,1.15
epsilon_decay,FALSE,1.24
epsilon_decay,TRUE,1.21
lambda_decay,TRUE,1.23
lambda_decay,FALSE,1.23
acqopt,RS_1000,0.92
acqopt,RS,1.01
acqopt,LS,1.21
acqopt,DIRECT,1.11
acqopt,CMAES,1.24
acqopt,LBFGSB,0.95
