parameter,value,max_mean_meta_score
input_trafo,none,0.814736846760874
input_trafo,unitcube,0.800080318622455
output_trafo,none,0.605264940225356
output_trafo,standardize,0.71232433941424
output_trafo,log,0.814736846760874
init,random,0.807138104855077
init,lhs,0.806657120503187
init,sobol,0.814736846760874
init_size_fraction,0.25,0.77470076458028
init_size_fraction,0.05,0.814736846760874
init_size_fraction,0.10,0.784252335610877
random_interleave_iter,0,0.814736846760874
random_interleave_iter,2,0.744390001675322
random_interleave_iter,4,0.79650922846296
trees,500,0.814736846760874
trees,10,0.676667931774276
variance_estimator,ensemble_standard_deviation,0.74484897726222
variance_estimator,jack,0.736981756175838
variance_estimator,law_of_total_variance,0.814736846760874
acqf,EI,0.807425983526882
acqf,PI,0.754249251196263
acqf,Mean,0.740389189859266
acqf,CB,0.814736846760874
lambda,1,0.787283261689388
lambda,3,0.814736846760874
lambda,10,0.799498086823465
epsilon_decay,FALSE,0.807425983526882
epsilon_decay,TRUE,0.797898903766713
lambda_decay,TRUE,0.799498086823465
lambda_decay,FALSE,0.814736846760874
acqopt,RS_1000,0.557419297405456
acqopt,RS,0.617678216788099
acqopt,LS,0.814736846760874
