algorithm,scenario,instance,runtime,dim,repl
ax,lcbench,167168,784,7,1
ax,lcbench,167168,792,7,2
ax,lcbench,167168,837,7,3
ax,lcbench,167168,791,7,4
ax,lcbench,167168,809,7,5
ax,lcbench,167168,848,7,6
ax,lcbench,167168,824,7,7
ax,lcbench,167168,829,7,8
ax,lcbench,167168,835,7,9
ax,lcbench,167168,805,7,10
ax,lcbench,167168,827,7,11
ax,lcbench,167168,801,7,12
ax,lcbench,167168,824,7,13
ax,lcbench,167168,835,7,14
ax,lcbench,167168,819,7,15
ax,lcbench,167168,790,7,16
ax,lcbench,167168,800,7,17
ax,lcbench,167168,815,7,18
ax,lcbench,167168,793,7,19
ax,lcbench,167168,796,7,20
ax,lcbench,167168,792,7,21
ax,lcbench,167168,801,7,22
ax,lcbench,167168,795,7,23
ax,lcbench,167168,798,7,24
ax,lcbench,167168,813,7,25
ax,lcbench,167168,805,7,26
ax,lcbench,167168,820,7,27
ax,lcbench,167168,778,7,28
ax,lcbench,167168,804,7,29
ax,lcbench,167168,815,7,30
ax,lcbench,189873,873,7,1
ax,lcbench,189873,858,7,2
ax,lcbench,189873,821,7,3
ax,lcbench,189873,853,7,4
ax,lcbench,189873,840,7,5
ax,lcbench,189873,826,7,6
ax,lcbench,189873,845,7,7
ax,lcbench,189873,820,7,8
ax,lcbench,189873,839,7,9
ax,lcbench,189873,849,7,10
ax,lcbench,189873,845,7,11
ax,lcbench,189873,822,7,12
ax,lcbench,189873,834,7,13
ax,lcbench,189873,818,7,14
ax,lcbench,189873,855,7,15
ax,lcbench,189873,851,7,16
ax,lcbench,189873,896,7,17
ax,lcbench,189873,848,7,18
ax,lcbench,189873,847,7,19
ax,lcbench,189873,827,7,20
ax,lcbench,189873,865,7,21
ax,lcbench,189873,841,7,22
ax,lcbench,189873,885,7,23
ax,lcbench,189873,853,7,24
ax,lcbench,189873,848,7,25
ax,lcbench,189873,837,7,26
ax,lcbench,189873,875,7,27
ax,lcbench,189873,867,7,28
