algorithm,fraction_budget,mean_meta_score,se_meta_score,mean_rank,se_rank
ax,0,-23.1515993217501,8.4678743996546,3.875,0.54894379103355
ax,0.01,-23.1515993217501,8.4678743996546,3.875,0.54894379103355
ax,0.02,-8.07515247427145,2.49132962684978,3.125,0.63912607743476
ax,0.03,-3.91086034527063,0.592385115657687,2.625,0.532430411281271
ax,0.04,-2.86048834289934,0.534606405000279,2.375,0.323899234771733
ax,0.05,-2.19159502652911,0.326263310229114,2.625,0.564974714984156
ax,0.06,-1.92526670091569,0.277676659477363,2.5,0.597614304667197
ax,0.07,-1.66976410798656,0.232689801151473,2.625,0.652946617813651
ax,0.08,-1.53236118064938,0.219379040746977,3.25,0.647798469543466
ax,0.09,-1.28525488835259,0.175500996705537,3.25,0.3659625273557
ax,0.1,-1.12583130695443,0.167561168598995,3.75,0.3659625273557
ax,0.11,-0.997282817168974,0.177123473954461,4,0.267261241912424
ax,0.12,-0.755629220357625,0.192789474005207,3.5,0.188982236504614
ax,0.13,-0.612570700134864,0.175725775377429,3.25,0.25
ax,0.14,-0.463556665265939,0.187970610007109,3.25,0.3659625273557
ax,0.15,-0.248725335378215,0.171346521564539,3.125,0.398098157314428
ax,0.16,-0.0637059743628472,0.171936846449215,2.875,0.295048422176041
ax,0.17,-0.00373848302778635,0.178208183962808,2.875,0.295048422176041
ax,0.18,0.0756565705286193,0.165115473889013,3,0.377964473009227
ax,0.19,0.146307407089725,0.162446112312853,3.125,0.350382444113368
ax,0.2,0.223427142256227,0.159136592647753,3,0.327326835353989
ax,0.21,0.276013532353672,0.150215151239433,2.875,0.226581741793741
ax,0.22,0.326512760204519,0.143932425177324,2.875,0.226581741793741
ax,0.23,0.357254919681376,0.141485624741977,2.875,0.226581741793741
ax,0.24,0.408249631475428,0.144932163950529,2.875,0.226581741793741
ax,0.25,0.444870824499443,0.151076136364722,2.875,0.226581741793741
ax,0.26,0.461753330878429,0.149681379586966,2.875,0.226581741793741
ax,0.27,0.486400988750562,0.142057675622982,2.875,0.226581741793741
ax,0.28,0.522140204909225,0.13121941923789,2.875,0.226581741793741
ax,0.29,0.545595045631453,0.128399903001487,2.875,0.226581741793741
ax,0.3,0.566477474781039,0.128531045166477,2.875,0.226581741793741
ax,0.31,0.600923982902941,0.123259110470155,2.875,0.226581741793741
ax,0.32,0.63065522454804,0.113480781557007,2.875,0.226581741793741
ax,0.33,0.653834441145598,0.107263404032107,2.875,0.226581741793741
ax,0.34,0.663472261882364,0.108020359511725,2.75,0.25
ax,0.35,0.683948925114597,0.101078612893383,2.75,0.25
ax,0.36,0.70383690490238,0.0982959832550179,2.75,0.25
ax,0.37,0.721596016838485,0.0963551807080994,2.875,0.295048422176041
ax,0.38,0.732502000716397,0.0938584933406213,2.875,0.295048422176041
ax,0.39,0.748777977898625,0.0912066087331165,2.875,0.295048422176041
ax,0.4,0.76278720202529,0.0884731339260222,2.875,0.295048422176041
ax,0.41,0.766905909818192,0.089003750562034,2.875,0.295048422176041
ax,0.42,0.777211093432919,0.0869958320946765,2.875,0.295048422176041
ax,0.43,0.789082319764872,0.0849371547951382,3,0.267261241912424
ax,0.44,0.79647822555218,0.0842692583060666,3,0.267261241912424
ax,0.45,0.801300136752204,0.0844897599529665,3,0.267261241912424
ax,0.46,0.814475978063475,0.0786038928810536,2.875,0.226581741793741
ax,0.47,0.821152301724322,0.0771081372444517,2.875,0.226581741793741
ax,0.48,0.83365550638666,0.0767184286640791,2.875,0.226581741793741
ax,0.49,0.83632055428294,0.0763938709096937,2.875,0.226581741793741
ax,0.5,0.839961872397911,0.0761050754839948,3,0.267261241912424
ax,0.51,0.843481295465221,0.0763873846118483,3,0.267261241912424
ax,0.52,0.85117719690193,0.0757080362703886,3,0.267261241912424
ax,0.53,0.858749909505667,0.0741365483753885,2.875,0.226581741793741
ax,0.54,0.859793814822712,0.074250563911616,2.875,0.226581741793741
ax,0.55,0.869255553979104,0.0725462802053909,2.875,0.226581741793741
ax,0.56,0.874377006790055,0.0722800270749278,2.875,0.226581741793741
ax,0.57,0.884194351681948,0.0697350656845009,2.875,0.226581741793741
ax,0.58,0.888863678664161,0.0686033904770665,2.875,0.226581741793741
ax,0.59,0.893717218489656,0.0674443878224232,2.875,0.226581741793741
ax,0.6,0.896154039755917,0.0674220494540841,2.875,0.226581741793741
ax,0.61,0.900914840197145,0.0659183423567897,2.875,0.226581741793741
ax,0.62,0.90346424098453,0.0649711038805805,2.8125,0.266215205640635
ax,0.63,0.907348075128503,0.0638497836178753,2.8125,0.266215205640635
ax,0.64,0.915655312370939,0.0615976973378395,2.8125,0.266215205640635
ax,0.65,0.918579973834843,0.0607354640607147,2.75,0.313391585264004
ax,0.66,0.921536527688723,0.0598435943867172,2.75,0.313391585264004
ax,0.67,0.923833906362878,0.0607925565275526,2.75,0.313391585264004
ax,0.68,0.928055342145674,0.0605192462413434,2.8125,0.266215205640635
ax,0.69,0.92894166708982,0.0603395904533624,2.75,0.313391585264004
ax,0.7,0.933846048456368,0.0601681516661843,2.75,0.313391585264004
ax,0.71,0.935696211477238,0.0598254853233543,2.75,0.313391585264004
ax,0.72,0.940017122305269,0.0599094134882824,2.875,0.398098157314428
ax,0.73,0.940552042257967,0.0599153337717217,2.875,0.398098157314428
ax,0.74,0.945868347769208,0.0583354791409627,2.875,0.398098157314428
ax,0.75,0.947531373746592,0.0577915067175529,2.875,0.398098157314428
ax,0.76,0.949979865607658,0.0570215500718411,2.875,0.398098157314428
ax,0.77,0.951444996196837,0.0566847447140035,2.875,0.398098157314428
ax,0.78,0.952009856679109,0.0565495083536542,2.875,0.398098157314428
ax,0.79,0.958059009146476,0.0558795132167307,2.875,0.398098157314428
ax,0.8,0.962693870504825,0.0562031104865808,2.875,0.398098157314428
ax,0.81,0.965799004620766,0.0553885949130657,2.875,0.398098157314428
ax,0.82,0.967555902778463,0.0551505744592159,2.875,0.398098157314428
ax,0.83,0.970596451090137,0.0547475875048863,2.75,0.313391585264004
ax,0.84,0.972283911133022,0.0541983036129727,2.875,0.398098157314428
ax,0.85,0.976525189650072,0.0530973430327906,3,0.422577127364258
ax,0.86,0.978901976584918,0.0526324959525551,3,0.422577127364258
ax,0.87,0.982092389215572,0.0520828793183618,2.875,0.440677238544752
ax,0.88,0.983377255440624,0.0519135233247206,2.875,0.440677238544752
ax,0.89,0.9846864070191,0.0517721304824111,2.875,0.440677238544752
ax,0.9,0.988152700308292,0.0516619618816741,2.75,0.490990253030983
ax,0.91,0.989898981333131,0.0518390897450067,2.75,0.490990253030983
ax,0.92,0.993948569789617,0.0509487270906001,2.75,0.490990253030983
ax,0.93,0.996426542012712,0.0504582712789607,2.75,0.490990253030983
ax,0.94,0.999017381473978,0.0497310532127951,2.875,0.440677238544752
ax,0.95,0.999953024713272,0.049488690942734,2.875,0.440677238544752
ax,0.96,1.00264619516199,0.0499442587813919,2.75,0.490990253030983
ax,0.97,1.00489613486661,0.0494551543975694,2.75,0.490990253030983
ax,0.98,1.00737864261176,0.0494499033423899,2.75,0.490990253030983
ax,0.99,1.0085984296384,0.0492671342278607,2.875,0.580563150250316
ax,1,1.01310438336607,0.0485419954429344,2.75,0.490990253030983
hebo,0,-23.9926411467574,9.5273430125873,3,0.566946709513841
hebo,0.01,-23.9926411467574,9.5273430125873,3,0.566946709513841
hebo,0.02,-8.25883114128231,2.34697076023151,4,0.462910049886276
hebo,0.03,-4.05458494247507,0.547354931889395,4.125,0.515388203202208
hebo,0.04,-2.91253972686996,0.552320749460718,3,0.377964473009227
hebo,0.05,-2.26795967700771,0.386966391826247,2.875,0.398098157314428
hebo,0.06,-1.9514603682463,0.29617021096856,2.625,0.41992771486803
hebo,0.07,-1.67110634293091,0.264937693539877,2.625,0.46049274850813
hebo,0.08,-1.40273044793595,0.261526923561704,2.5,0.267261241912424
hebo,0.09,-1.05933570383532,0.179525022507607,2.25,0.3659625273557
hebo,0.1,-0.856862541468587,0.155485356491441,2.125,0.226581741793741
hebo,0.11,-0.593108522475531,0.0968925056823562,1.875,0.226581741793741
hebo,0.12,-0.437444297056918,0.101873518827183,2.125,0.350382444113368
hebo,0.13,-0.328045060196425,0.0987459378239787,2.125,0.350382444113368
hebo,0.14,-0.206052775852834,0.0991133975055055,2.25,0.3659625273557
hebo,0.15,-0.123158924612589,0.103926195959504,2.125,0.398098157314428
hebo,0.16,0.00722963998235006,0.0968545217406595,2.375,0.323899234771733
hebo,0.17,0.0623147924047135,0.102490197863603,2.375,0.323899234771733
hebo,0.18,0.153545862147981,0.0967043137163156,2.375,0.323899234771733
hebo,0.19,0.211250966167102,0.10516490326117,2.25,0.313391585264004
hebo,0.2,0.303559408052528,0.102712002813707,2.375,0.263052140404576
hebo,0.21,0.349926142602683,0.10674179953898,2.375,0.263052140404576
hebo,0.22,0.392490926745084,0.098571561773131,2.25,0.163663417676994
hebo,0.23,0.428650286895069,0.0939825953520799,2.25,0.163663417676994
hebo,0.24,0.471891007844432,0.0895773299400048,2.125,0.226581741793741
hebo,0.25,0.493415452631766,0.091931375139842,2.125,0.226581741793741
hebo,0.26,0.523738196976384,0.0912444650859005,2.125,0.226581741793741
hebo,0.27,0.559425254061737,0.0846187013219895,2.125,0.226581741793741
hebo,0.28,0.584744688014905,0.0794151008703679,2.25,0.313391585264004
hebo,0.29,0.609643501368587,0.0754357815720002,2.375,0.263052140404576
hebo,0.3,0.625563726673152,0.0747364999971601,2.375,0.263052140404576
hebo,0.31,0.649946438904483,0.07158544918816,2.375,0.263052140404576
hebo,0.32,0.669029329974736,0.0683288485044359,2.375,0.263052140404576
hebo,0.33,0.685518334955172,0.0657673123853944,2.5,0.327326835353989
hebo,0.34,0.693964616291203,0.0641148626105415,2.625,0.323899234771733
hebo,0.35,0.711947211250206,0.0610807849864108,2.5,0.377964473009227
hebo,0.36,0.730687508620646,0.0580397693251163,2.5,0.377964473009227
hebo,0.37,0.740379195529162,0.0565062130668229,2.5,0.377964473009227
hebo,0.38,0.746484912761322,0.0554705314425031,2.5,0.377964473009227
hebo,0.39,0.757765895619229,0.054109868109271,2.5,0.377964473009227
hebo,0.4,0.788819679546036,0.047921909337701,2.5,0.377964473009227
hebo,0.41,0.798954642783264,0.0466169313213637,2.5,0.377964473009227
hebo,0.42,0.809992148599118,0.0448397514596635,2.5,0.377964473009227
hebo,0.43,0.82072857705163,0.0442594288212855,2.5,0.377964473009227
hebo,0.44,0.833195873425757,0.0418468104702482,2.5,0.377964473009227
hebo,0.45,0.840660726811692,0.0397564450607488,2.5,0.377964473009227
hebo,0.46,0.850006100311591,0.0380504364956863,2.5,0.377964473009227
hebo,0.47,0.85525126185638,0.0373055865644393,2.5,0.377964473009227
hebo,0.48,0.863253599539406,0.0357750256051751,2.5,0.377964473009227
hebo,0.49,0.868480143473033,0.0356633652105511,2.5,0.377964473009227
hebo,0.5,0.877882361630485,0.03340308495054,2.5,0.377964473009227
hebo,0.51,0.881362376432805,0.0330060981338555,2.5,0.377964473009227
hebo,0.52,0.894425690037456,0.0315025693683989,2.5,0.377964473009227
hebo,0.53,0.900154051272733,0.0300427143867776,2.5,0.377964473009227
hebo,0.54,0.909365173389428,0.0278884239103243,2.5,0.377964473009227
hebo,0.55,0.916065821493341,0.0260773358538464,2.5,0.377964473009227
hebo,0.56,0.921909620561352,0.0252380963377007,2.5,0.377964473009227
hebo,0.57,0.926909049357513,0.0245299879369617,2.5,0.377964473009227
hebo,0.58,0.92913295586525,0.0241368223567196,2.5,0.377964473009227
hebo,0.59,0.935218607814767,0.0225703107267518,2.5,0.377964473009227
hebo,0.6,0.941050888990347,0.0221230158039928,2.5,0.377964473009227
hebo,0.61,0.945077491038745,0.0214920879822368,2.5,0.377964473009227
hebo,0.62,0.94696730412536,0.0211804723277806,2.5,0.377964473009227
hebo,0.63,0.951091799702249,0.0209022015373121,2.5,0.377964473009227
hebo,0.64,0.957450572363214,0.0191606009985628,2.5,0.377964473009227
hebo,0.65,0.958782718061749,0.0191893302131778,2.5,0.377964473009227
hebo,0.66,0.963673722307289,0.0183880965680222,2.5,0.377964473009227
hebo,0.67,0.966737158871437,0.0176844798930447,2.5,0.377964473009227
hebo,0.68,0.972921308388963,0.0172349177965708,2.5,0.377964473009227
hebo,0.69,0.976356485125241,0.0166647413451133,2.5,0.377964473009227
hebo,0.7,0.981797808239167,0.0153941913007233,2.5,0.377964473009227
hebo,0.71,0.983969885130387,0.0150912960884185,2.5,0.377964473009227
hebo,0.72,0.989076803960484,0.0145579010096426,2.5,0.377964473009227
hebo,0.73,0.990543030076147,0.0145955801055803,2.5,0.377964473009227
hebo,0.74,0.992978205524176,0.0144799101888891,2.5,0.377964473009227
hebo,0.75,0.99493281368664,0.0144936591576548,2.5,0.377964473009227
hebo,0.76,0.997756018945249,0.0150480972115805,2.5,0.377964473009227
hebo,0.77,1.00290384198673,0.0154326037901494,2.5,0.377964473009227
hebo,0.78,1.00527692712147,0.0161184855693808,2.5,0.377964473009227
hebo,0.79,1.01037436029833,0.0154975700152981,2.375,0.323899234771733
hebo,0.8,1.01432378757261,0.016157467939492,2.375,0.323899234771733
hebo,0.81,1.01728937739999,0.0162040405778684,2.375,0.323899234771733
hebo,0.82,1.02299445925823,0.019455413335277,2.375,0.323899234771733
hebo,0.83,1.02611662421621,0.0196184904047049,2.375,0.323899234771733
hebo,0.84,1.03040578585698,0.0210729712763177,2.375,0.323899234771733
hebo,0.85,1.03431166972605,0.0205903897573831,2.25,0.25
hebo,0.86,1.03686836355978,0.021074705101168,2.25,0.25
hebo,0.87,1.03945612743163,0.021627768419063,2.375,0.263052140404576
hebo,0.88,1.04077280841623,0.021816739803843,2.375,0.263052140404576
hebo,0.89,1.04253739587491,0.0225109039226904,2.375,0.263052140404576
hebo,0.9,1.04672617992873,0.022171359437692,2.375,0.263052140404576
hebo,0.91,1.04941812346776,0.0221664187983791,2.375,0.263052140404576
hebo,0.92,1.05162371112047,0.0228119967460852,2.375,0.263052140404576
hebo,0.93,1.05259361583837,0.0227314035167015,2.375,0.263052140404576
hebo,0.94,1.05402679498455,0.022661318304282,2.375,0.263052140404576
hebo,0.95,1.05566448634663,0.023097473168736,2.375,0.263052140404576
hebo,0.96,1.06143557669078,0.0230402037432618,2.375,0.263052140404576
hebo,0.97,1.06349088149295,0.0231040049198909,2.5,0.188982236504614
hebo,0.98,1.06548024524348,0.0232556632642834,2.5,0.188982236504614
hebo,0.99,1.06614916726543,0.0234317455288927,2.5,0.188982236504614
hebo,1,1.06827093424431,0.0234525560940491,2.5,0.188982236504614
smac4bb,0,-24.3511126959664,9.56691453458116,2.625,0.652946617813651
smac4bb,0.01,-24.3511126959664,9.56691453458116,2.625,0.652946617813651
smac4bb,0.02,-6.69237818432447,1.55007426161998,2.125,0.398098157314428
smac4bb,0.03,-3.57352988394983,0.521994358174964,2.25,0.559016994374948
smac4bb,0.04,-2.66400363039848,0.457155252717087,2.25,0.559016994374948
