input_trafo,output_trafo,init,init_size_fraction,random_interleave_iter,surrogate,extratrees,trees,variance_estimator,kernel,nugget,scaling,acqf,lambda,epsilon_decay,lambda_decay,acqopt,parameter,iteration,id,mean_meta_score,n_na,n,batch_nr
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,input_trafo,1,1,0.788661947845629,0,8,1
unitcube,none,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,input_trafo,1,2,0.786557906569133,0,8,1
none,standardize,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,output_trafo,1,3,0.783933513858713,0,8,1
none,log,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,output_trafo,1,4,0.847020245533972,0,8,1
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,init,1,5,0.800785468796627,0,8,1
none,none,sobol,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,init,1,6,0.78850673222341,0,8,1
none,none,random,0.05,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,init_size_fraction,1,7,0.848863578202926,0,8,1
none,none,random,0.10,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,init_size_fraction,1,8,0.834892538730087,0,8,1
none,none,random,0.25,2,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,random_interleave_iter,1,9,0.637291503717928,0,8,1
none,none,random,0.25,4,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,random_interleave_iter,1,10,0.706207721192502,0,8,1
none,none,random,0.25,0,rf,TRUE,10,jack,,,,EI,,FALSE,,RS_1000,surrogate,1,11,0.190394165812917,0,8,1
none,none,random,0.25,0,rf,FALSE,10,jack,,,,EI,,FALSE,,RS_1000,surrogate,1,12,0.0872894359359917,0,8,1
none,none,random,0.25,0,rf,TRUE,500,jack,,,,EI,,FALSE,,RS_1000,surrogate,1,13,0.593873688816646,0,8,1
none,none,random,0.25,0,rf,FALSE,500,jack,,,,EI,,FALSE,,RS_1000,surrogate,1,14,0.611666188713851,0,8,1
none,none,random,0.25,0,rf,TRUE,10,ensemble_standard_deviation,,,,EI,,FALSE,,RS_1000,surrogate,1,15,0.421670335123311,0,8,1
none,none,random,0.25,0,rf,FALSE,10,ensemble_standard_deviation,,,,EI,,FALSE,,RS_1000,surrogate,1,16,0.499667524720618,0,8,1
none,none,random,0.25,0,rf,TRUE,500,ensemble_standard_deviation,,,,EI,,FALSE,,RS_1000,surrogate,1,17,0.523188684247135,0,8,1
none,none,random,0.25,0,rf,FALSE,500,ensemble_standard_deviation,,,,EI,,FALSE,,RS_1000,surrogate,1,18,0.59517028297369,0,8,1
none,none,random,0.25,0,rf,TRUE,10,law_of_total_variance,,,,EI,,FALSE,,RS_1000,surrogate,1,19,0.604262718942993,0,8,1
none,none,random,0.25,0,rf,FALSE,10,law_of_total_variance,,,,EI,,FALSE,,RS_1000,surrogate,1,20,0.699702707362335,0,8,1
none,none,random,0.25,0,rf,TRUE,500,law_of_total_variance,,,,EI,,FALSE,,RS_1000,surrogate,1,21,0.62383455613499,0,8,1
none,none,random,0.25,0,rf,FALSE,500,law_of_total_variance,,,,EI,,FALSE,,RS_1000,surrogate,1,22,0.795197320431671,0,8,1
none,none,random,0.25,0,gp,,,,gauss,0,TRUE,EI,,FALSE,,RS_1000,surrogate,1,23,0.794786782445622,0,8,1
none,none,random,0.25,0,gp,,,,matern3_2,0,TRUE,EI,,FALSE,,RS_1000,surrogate,1,24,0.866600853051746,0,8,1
none,none,random,0.25,0,gp,,,,matern5_2,0,TRUE,EI,,FALSE,,RS_1000,surrogate,1,25,0.852189013748816,0,8,1
none,none,random,0.25,0,gp,,,,exp,0,TRUE,EI,,FALSE,,RS_1000,surrogate,1,26,0.724242039386673,0,8,1
