input_trafo,output_trafo,init,init_size_fraction,random_interleave_iter,trees,variance_estimator,acqf,lambda,epsilon_decay,lambda_decay,acqopt,mean_runtime,min_runtime,max_runtime
none,none,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,10,6,18
unitcube,none,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,11,7,17
none,standardize,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,10,7,16
none,log,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,10,6,17
none,none,lhs,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,11,6,16
none,none,sobol,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,11,7,17
none,none,random,0.05,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,12,7,18
none,none,random,0.10,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,11,7,19
none,none,random,0.25,2,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,6,4,10
none,none,random,0.25,4,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,8,5,13
none,none,random,0.25,0,10,ensemble_standard_deviation,EI,,FALSE,,RS_1000,7,5,11
none,none,random,0.25,0,500,jack,EI,,FALSE,,RS_1000,10,6,16
none,none,random,0.25,0,500,law_of_total_variance,EI,,FALSE,,RS_1000,10,6,16
none,none,random,0.25,0,500,ensemble_standard_deviation,PI,,,,RS_1000,10,7,16
none,none,random,0.25,0,500,ensemble_standard_deviation,Mean,,,,RS_1000,10,6,16
none,none,random,0.25,0,500,ensemble_standard_deviation,CB,1,,TRUE,RS_1000,10,6,16
none,none,random,0.25,0,500,ensemble_standard_deviation,CB,3,,TRUE,RS_1000,10,6,16
none,none,random,0.25,0,500,ensemble_standard_deviation,CB,10,,TRUE,RS_1000,10,7,16
none,none,random,0.25,0,500,ensemble_standard_deviation,CB,1,,FALSE,RS_1000,10,6,19
none,none,random,0.25,0,500,ensemble_standard_deviation,CB,3,,FALSE,RS_1000,10,7,17
none,none,random,0.25,0,500,ensemble_standard_deviation,CB,10,,FALSE,RS_1000,11,7,17
none,none,random,0.25,0,500,ensemble_standard_deviation,EI,,TRUE,,RS_1000,11,7,17
none,none,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS,39,6,150
none,none,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,53,8,199
