input_trafo,output_trafo,init,init_size_fraction,random_interleave_iter,surrogate,extratrees,trees,variance_estimator,kernel,nugget,scaling,acqf,lambda,epsilon_decay,lambda_decay,acqopt,mean_runtime,min_runtime,max_runtime
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,87,13,222
unitcube,none,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,54,13,117
none,standardize,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,71,15,141
none,log,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,75,17,139
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,85,13,259
none,none,sobol,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,85,16,190
none,none,random,0.05,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,86,18,196
none,none,random,0.10,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,86,15,189
none,none,random,0.25,2,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,48,10,133
none,none,random,0.25,4,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,45,12,136
none,none,random,0.25,0,rf,TRUE,10,jack,,,,EI,,FALSE,,RS_1000,9,6,14
none,none,random,0.25,0,rf,FALSE,10,jack,,,,EI,,FALSE,,RS_1000,9,6,13
none,none,random,0.25,0,rf,TRUE,500,jack,,,,EI,,FALSE,,RS_1000,10,8,14
none,none,random,0.25,0,rf,FALSE,500,jack,,,,EI,,FALSE,,RS_1000,9,8,10
none,none,random,0.25,0,rf,TRUE,10,ensemble_standard_deviation,,,,EI,,FALSE,,RS_1000,8,6,10
none,none,random,0.25,0,rf,FALSE,10,ensemble_standard_deviation,,,,EI,,FALSE,,RS_1000,8,6,10
none,none,random,0.25,0,rf,TRUE,500,ensemble_standard_deviation,,,,EI,,FALSE,,RS_1000,9,7,11
