input_trafo,output_trafo,init,init_size_fraction,random_interleave_iter,trees,variance_estimator,acqf,lambda,epsilon_decay,lambda_decay,acqopt,parameter,iteration,id,mean_meta_score,n_na,n,batch_nr
none,none,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,input_trafo,1,1,0.351135549908732,0,14,1
unitcube,none,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,input_trafo,1,2,0.332998562673975,0,14,1
none,standardize,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,output_trafo,1,3,0.347075936772773,0,14,1
none,log,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,output_trafo,1,4,0.500240412801866,0,14,1
none,none,lhs,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,init,1,5,0.358433593184767,0,14,1
none,none,sobol,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,init,1,6,0.349470038863856,0,14,1
none,none,random,0.05,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,init_size_fraction,1,7,0.38834426322899,0,14,1
none,none,random,0.10,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,init_size_fraction,1,8,0.359408652749981,0,14,1
none,none,random,0.25,2,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,random_interleave_iter,1,9,0.307217008754617,0,14,1
none,none,random,0.25,4,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,random_interleave_iter,1,10,0.334346504627319,0,14,1
none,none,random,0.25,0,10,ensemble_standard_deviation,EI,,FALSE,,RS_1000,trees,1,11,0.299728302114207,0,14,1
none,none,random,0.25,0,500,jack,EI,,FALSE,,RS_1000,variance_estimator,1,12,0.354877707654645,0,14,1
none,none,random,0.25,0,500,law_of_total_variance,EI,,FALSE,,RS_1000,variance_estimator,1,13,0.340047294930125,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,PI,,,,RS_1000,acqf,1,14,0.434421915048471,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,Mean,,,,RS_1000,acqf,1,15,0.382303320908557,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,CB,1,,TRUE,RS_1000,acqf,1,16,0.451684739500183,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,CB,3,,TRUE,RS_1000,acqf,1,17,0.199295466228482,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,CB,10,,TRUE,RS_1000,acqf,1,18,-0.0761498911566809,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,CB,1,,FALSE,RS_1000,acqf,1,19,0.46667952838245,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,CB,3,,FALSE,RS_1000,acqf,1,20,0.207178110585316,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,CB,10,,FALSE,RS_1000,acqf,1,21,-0.0965000486349157,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,EI,,TRUE,,RS_1000,acqf,1,22,0.0732457198319365,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS,acqopt,1,23,0.396759170249125,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,acqopt,1,24,0.742119218990471,0,14,1
