input_trafo,output_trafo,init,init_size_fraction,random_interleave_iter,trees,variance_estimator,acqf,lambda,epsilon_decay,lambda_decay,acqopt,parameter,iteration,id,mean_meta_score,n_na,n,batch_nr
none,none,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,input_trafo,1,1,0.337422783036357,0,14,1
unitcube,none,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,input_trafo,1,2,0.324727862841079,0,14,1
none,standardize,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,output_trafo,1,3,0.353789846310612,0,14,1
none,log,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,output_trafo,1,4,0.498157567244936,0,14,1
none,none,lhs,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,init,1,5,0.325144658857461,0,14,1
none,none,sobol,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,init,1,6,0.341265125755625,0,14,1
none,none,random,0.05,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,init_size_fraction,1,7,0.375157559757409,0,14,1
none,none,random,0.10,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,init_size_fraction,1,8,0.37373162810647,0,14,1
none,none,random,0.25,2,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,random_interleave_iter,1,9,0.267019905380408,0,14,1
none,none,random,0.25,4,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,random_interleave_iter,1,10,0.322547527200165,0,14,1
none,none,random,0.25,0,10,ensemble_standard_deviation,EI,,FALSE,,RS_1000,trees,1,11,0.263257944209897,0,14,1
none,none,random,0.25,0,500,jack,EI,,FALSE,,RS_1000,variance_estimator,1,12,0.352385460841415,0,14,1
none,none,random,0.25,0,500,law_of_total_variance,EI,,FALSE,,RS_1000,variance_estimator,1,13,0.342977254109414,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,PI,,,,RS_1000,acqf,1,14,0.427434471139488,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,Mean,,,,RS_1000,acqf,1,15,0.372908107764386,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,CB,1,,TRUE,RS_1000,acqf,1,16,0.460391517384964,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,CB,3,,TRUE,RS_1000,acqf,1,17,0.201942175606432,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,CB,10,,TRUE,RS_1000,acqf,1,18,-0.084681649941097,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,CB,1,,FALSE,RS_1000,acqf,1,19,0.433831847449604,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,CB,3,,FALSE,RS_1000,acqf,1,20,0.213391979662332,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,CB,10,,FALSE,RS_1000,acqf,1,21,-0.0727415491702983,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,EI,,TRUE,,RS_1000,acqf,1,22,0.121518160789893,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS,acqopt,1,23,0.378890062723472,0,14,1
none,none,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,acqopt,1,24,0.439391275348143,0,14,1
unitcube,log,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,input_trafo,2,1,0.489712991211369,0,14,2
none,none,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,output_trafo,2,2,0.338280409699414,0,14,2
