parameter,value,max_mean_meta_score
input_trafo,none,0.816058484524809
input_trafo,unitcube,0.796004794452947
output_trafo,none,0.599697634459861
output_trafo,standardize,0.740102332467929
output_trafo,log,0.816058484524809
init,random,0.816058484524809
init,lhs,0.789275481161773
init,sobol,0.767899254552542
init_size_fraction,0.25,0.784719421320485
init_size_fraction,0.05,0.816058484524809
init_size_fraction,0.10,0.802213119159612
random_interleave_iter,0,0.816058484524809
random_interleave_iter,2,0.744627875420513
random_interleave_iter,4,0.789915137221887
trees,500,0.816058484524809
trees,10,0.683851921157813
variance_estimator,ensemble_standard_deviation,0.767395426926775
variance_estimator,jack,0.737875720168341
variance_estimator,law_of_total_variance,0.816058484524809
acqf,EI,0.798764191568195
acqf,PI,0.774509790877583
acqf,Mean,0.714325858287172
acqf,CB,0.816058484524809
lambda,1,0.816058484524809
lambda,3,0.80065750598257
lambda,10,0.800587057163055
epsilon_decay,FALSE,0.798764191568195
epsilon_decay,TRUE,0.796084342122296
lambda_decay,TRUE,0.80065750598257
lambda_decay,FALSE,0.816058484524809
acqopt,RS_1000,0.558780161906257
acqopt,RS,0.606164938003935
acqopt,LS,0.816058484524809
