input_trafo,output_trafo,init,init_size_fraction,random_interleave_iter,surrogate,extratrees,trees,variance_estimator,kernel,nugget,scaling,acqf,lambda,epsilon_decay,lambda_decay,acqopt,parameter,iteration,id,mean_meta_score,n_na,n,batch_nr
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,input_trafo,1,1,0.756604416308967,0,8,1
unitcube,none,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,input_trafo,1,2,0.758200190578269,0,8,1
none,standardize,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,output_trafo,1,3,0.754578679705694,0,8,1
none,log,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,output_trafo,1,4,0.813730646946886,0,8,1
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,init,1,5,0.767127983211866,0,8,1
none,none,sobol,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,init,1,6,0.757134310140863,0,8,1
none,none,random,0.05,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,init_size_fraction,1,7,0.810488207092241,0,8,1
none,none,random,0.10,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,init_size_fraction,1,8,0.803534258143812,0,8,1
none,none,random,0.25,2,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,random_interleave_iter,1,9,0.585898994497012,0,8,1
none,none,random,0.25,4,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,random_interleave_iter,1,10,0.681703075867615,0,8,1
none,none,random,0.25,0,rf,TRUE,10,jack,,,,EI,,FALSE,,RS_1000,surrogate,1,11,0.265680485001645,0,8,1
none,none,random,0.25,0,rf,FALSE,10,jack,,,,EI,,FALSE,,RS_1000,surrogate,1,12,0.136967834471853,0,8,1
none,none,random,0.25,0,rf,TRUE,500,jack,,,,EI,,FALSE,,RS_1000,surrogate,1,13,0.586628568560873,0,8,1
none,none,random,0.25,0,rf,FALSE,500,jack,,,,EI,,FALSE,,RS_1000,surrogate,1,14,0.575577676094477,0,8,1
none,none,random,0.25,0,rf,TRUE,10,ensemble_standard_deviation,,,,EI,,FALSE,,RS_1000,surrogate,1,15,0.408918981783228,0,8,1
none,none,random,0.25,0,rf,FALSE,10,ensemble_standard_deviation,,,,EI,,FALSE,,RS_1000,surrogate,1,16,0.486537033654125,0,8,1
none,none,random,0.25,0,rf,TRUE,500,ensemble_standard_deviation,,,,EI,,FALSE,,RS_1000,surrogate,1,17,0.511201637259792,0,8,1
none,none,random,0.25,0,rf,FALSE,500,ensemble_standard_deviation,,,,EI,,FALSE,,RS_1000,surrogate,1,18,0.591661405141215,0,8,1
none,none,random,0.25,0,rf,TRUE,10,law_of_total_variance,,,,EI,,FALSE,,RS_1000,surrogate,1,19,0.59827618764864,0,8,1
none,none,random,0.25,0,rf,FALSE,10,law_of_total_variance,,,,EI,,FALSE,,RS_1000,surrogate,1,20,0.644025581190783,0,8,1
none,none,random,0.25,0,rf,TRUE,500,law_of_total_variance,,,,EI,,FALSE,,RS_1000,surrogate,1,21,0.522192215110699,0,8,1
none,none,random,0.25,0,rf,FALSE,500,law_of_total_variance,,,,EI,,FALSE,,RS_1000,surrogate,1,22,0.694441921971972,0,8,1
none,none,random,0.25,0,gp,,,,gauss,0,TRUE,EI,,FALSE,,RS_1000,surrogate,1,23,0.764367907615074,0,8,1
none,none,random,0.25,0,gp,,,,matern3_2,0,TRUE,EI,,FALSE,,RS_1000,surrogate,1,24,0.814276271513668,0,8,1
