parameter,value,max_mean_meta_score
input_trafo,none,1.18831535098808
input_trafo,unitcube,1.18356807618047
output_trafo,none,1.07363773328157
output_trafo,standardize,1.05078408081171
output_trafo,log,1.18831535098808
init,random,1.18831535098808
init,lhs,1.17678507112225
init,sobol,1.18188242043686
init_size_fraction,0.25,1.18388288814251
init_size_fraction,0.05,1.18831535098808
init_size_fraction,0.10,1.18468464614368
random_interleave_iter,0,1.18831535098808
random_interleave_iter,2,1.16577717156686
random_interleave_iter,4,1.18001451079614
surrogate,gp,1.18831535098808
surrogate,rf,1.08563949204442
extratrees,TRUE,1.08563949204442
extratrees,FALSE,1.0718010560078
trees,10,1.07845724003698
trees,500,1.08563949204442
variance_estimator,jack,1.07388913864996
variance_estimator,ensemble_standard_deviation,1.08563949204442
variance_estimator,law_of_total_variance,1.07845724003698
kernel,gauss,1.16041011587548
kernel,matern3_2,1.18831535098808
kernel,matern5_2,1.17316978604032
kernel,exp,1.12387256914092
nugget,0,1.18356807618047
nugget,1e-3,1.16474157504322
nugget,1e-8,1.18831535098808
scaling,FALSE,1.18831535098808
scaling,TRUE,1.12769476214058
acqf,EI,1.1639791381535
acqf,PI,0.750515386592027
acqf,Mean,1.02157619852452
acqf,CB,1.18831535098808
lambda,1,1.0922953712837
lambda,3,1.18831535098808
lambda,10,1.05812868878016
epsilon_decay,FALSE,1.153870814442
epsilon_decay,TRUE,1.1639791381535
lambda_decay,TRUE,1.18216720482586
lambda_decay,FALSE,1.18831535098808
acqopt,RS_1000,0.911244542257585
acqopt,RS,0.988124023794871
acqopt,LS,1.17716640538016
acqopt,DIRECT,1.08043979852113
acqopt,CMAES,1.18831535098808
acqopt,LBFGSB,0.934336894416206
