instance,scenario
40981,rbv2_svm
4134,rbv2_svm
1220,rbv2_svm
40536,rbv2_svm
41157,rbv2_svm
151,rbv2_svm
1475,rbv2_svm
1479,rbv2_svm
41212,rbv2_svm
1480,rbv2_svm
1067,rbv2_svm
1068,rbv2_svm
41216,rbv2_svm
1464,rbv2_svm
1461,rbv2_svm
41162,rbv2_svm
23,rbv2_svm
41027,rbv2_svm
4538,rbv2_svm
41142,rbv2_svm
23381,rbv2_svm
188,rbv2_svm
41143,rbv2_svm
1050,rbv2_svm
469,rbv2_svm
1485,rbv2_svm
41169,rbv2_svm
4135,rbv2_ranger
40981,rbv2_ranger
4134,rbv2_ranger
1220,rbv2_ranger
4538,rbv2_ranger
40496,rbv2_ranger
40536,rbv2_ranger
41156,rbv2_ranger
1590,rbv2_ranger
1457,rbv2_ranger
469,rbv2_ranger
41157,rbv2_ranger
1461,rbv2_ranger
41142,rbv2_ranger
40994,rbv2_ranger
23,rbv2_ranger
40668,rbv2_ranger
31,rbv2_ranger
6332,rbv2_ranger
37,rbv2_ranger
23381,rbv2_ranger
151,rbv2_ranger
188,rbv2_ranger
41164,rbv2_ranger
1475,rbv2_ranger
1479,rbv2_ranger
41212,rbv2_ranger
1480,rbv2_ranger
41143,rbv2_ranger
1053,rbv2_ranger
41027,rbv2_ranger
1067,rbv2_ranger
1063,rbv2_ranger
1485,rbv2_ranger
14,rbv2_ranger
18,rbv2_ranger
22,rbv2_ranger
334,rbv2_ranger
1068,rbv2_ranger
1050,rbv2_ranger
1049,rbv2_ranger
470,rbv2_ranger
1494,rbv2_ranger
182,rbv2_ranger
40982,rbv2_ranger
54,rbv2_ranger
60,rbv2_ranger
181,rbv2_ranger
41162,rbv2_ranger
23517,rbv2_ranger
41165,rbv2_ranger
4541,rbv2_ranger
41166,rbv2_ranger
41150,rbv2_ranger
23512,rbv2_ranger
41168,rbv2_ranger
1493,rbv2_ranger
41169,rbv2_ranger
4135,rbv2_rpart
4134,rbv2_rpart
40927,rbv2_rpart
1220,rbv2_rpart
40923,rbv2_rpart
41163,rbv2_rpart
4538,rbv2_rpart
40978,rbv2_rpart
375,rbv2_rpart
40496,rbv2_rpart
40966,rbv2_rpart
41150,rbv2_rpart
40536,rbv2_rpart
41156,rbv2_rpart
1590,rbv2_rpart
1457,rbv2_rpart
469,rbv2_rpart
41157,rbv2_rpart
11,rbv2_rpart
1461,rbv2_rpart
1464,rbv2_rpart
41142,rbv2_rpart
40701,rbv2_rpart
40994,rbv2_rpart
23,rbv2_rpart
1468,rbv2_rpart
40668,rbv2_rpart
31,rbv2_rpart
6332,rbv2_rpart
37,rbv2_rpart
4541,rbv2_rpart
23381,rbv2_rpart
151,rbv2_rpart
188,rbv2_rpart
41164,rbv2_rpart
1475,rbv2_rpart
41159,rbv2_rpart
41169,rbv2_rpart
23512,rbv2_rpart
1479,rbv2_rpart
41212,rbv2_rpart
1480,rbv2_rpart
41168,rbv2_rpart
41143,rbv2_rpart
1053,rbv2_rpart
41027,rbv2_rpart
1067,rbv2_rpart
1063,rbv2_rpart
1485,rbv2_rpart
16,rbv2_rpart
22,rbv2_rpart
1515,rbv2_rpart
334,rbv2_rpart
23517,rbv2_rpart
1493,rbv2_rpart
1050,rbv2_rpart
1049,rbv2_rpart
1489,rbv2_rpart
1494,rbv2_rpart
41161,rbv2_rpart
41165,rbv2_rpart
182,rbv2_rpart
1501,rbv2_rpart
44,rbv2_rpart
40982,rbv2_rpart
50,rbv2_rpart
54,rbv2_rpart
41166,rbv2_rpart
307,rbv2_rpart
60,rbv2_rpart
181,rbv2_rpart
41169,rbv2_glmnet
1479,rbv2_glmnet
41143,rbv2_xgboost
470,rbv2_xgboost
1487,rbv2_xgboost
40975,rbv2_xgboost
1461,rbv2_xgboost
11,rbv2_xgboost
54,rbv2_xgboost
31,rbv2_xgboost
1067,rbv2_xgboost
1590,rbv2_xgboost
40983,rbv2_xgboost
182,rbv2_xgboost
1220,rbv2_xgboost
41159,rbv2_xgboost
42,rbv2_xgboost
188,rbv2_xgboost
1480,rbv2_xgboost
6332,rbv2_xgboost
181,rbv2_xgboost
1479,rbv2_xgboost
40536,rbv2_xgboost
14,rbv2_xgboost
29,rbv2_xgboost
1494,rbv2_xgboost
40701,rbv2_xgboost
307,rbv2_xgboost
334,rbv2_xgboost
40982,rbv2_xgboost
41142,rbv2_xgboost
1050,rbv2_xgboost
469,rbv2_xgboost
23381,rbv2_xgboost
41157,rbv2_xgboost
23,rbv2_xgboost
4134,rbv2_xgboost
40981,rbv2_xgboost
41156,rbv2_xgboost
1049,rbv2_xgboost
1063,rbv2_xgboost
1068,rbv2_xgboost
22,rbv2_xgboost
1489,rbv2_xgboost
4135,rbv2_xgboost
1053,rbv2_xgboost
1468,rbv2_xgboost
312,rbv2_xgboost
1515,rbv2_xgboost
18,rbv2_xgboost
1464,rbv2_xgboost
41212,rbv2_xgboost
60,rbv2_xgboost
4538,rbv2_xgboost
40496,rbv2_xgboost
37,rbv2_xgboost
1475,rbv2_xgboost
1485,rbv2_xgboost
151,rbv2_xgboost
40978,rbv2_xgboost
40994,rbv2_xgboost
50,rbv2_xgboost
1486,rbv2_xgboost
40927,rbv2_aknn
1220,rbv2_aknn
4538,rbv2_aknn
1111,rbv2_aknn
41150,rbv2_aknn
40536,rbv2_aknn
41156,rbv2_aknn
1590,rbv2_aknn
1457,rbv2_aknn
41157,rbv2_aknn
40701,rbv2_aknn
29,rbv2_aknn
6332,rbv2_aknn
4541,rbv2_aknn
41164,rbv2_aknn
1475,rbv2_aknn
41159,rbv2_aknn
41212,rbv2_aknn
1480,rbv2_aknn
41168,rbv2_aknn
1067,rbv2_aknn
1063,rbv2_aknn
41162,rbv2_aknn
18,rbv2_aknn
23517,rbv2_aknn
41278,rbv2_aknn
1489,rbv2_aknn
470,rbv2_aknn
41165,rbv2_aknn
40498,rbv2_aknn
181,rbv2_aknn
41138,rbv2_super
40981,rbv2_super
4134,rbv2_super
1220,rbv2_super
4538,rbv2_super
40978,rbv2_super
40496,rbv2_super
41156,rbv2_super
469,rbv2_super
41157,rbv2_super
1461,rbv2_super
1464,rbv2_super
41142,rbv2_super
40701,rbv2_super
40994,rbv2_super
23,rbv2_super
40668,rbv2_super
29,rbv2_super
31,rbv2_super
6332,rbv2_super
37,rbv2_super
23381,rbv2_super
151,rbv2_super
188,rbv2_super
41164,rbv2_super
1475,rbv2_super
41169,rbv2_super
41212,rbv2_super
1480,rbv2_super
41143,rbv2_super
41027,rbv2_super
1067,rbv2_super
1485,rbv2_super
18,rbv2_super
22,rbv2_super
1515,rbv2_super
334,rbv2_super
1493,rbv2_super
1487,rbv2_super
1068,rbv2_super
1050,rbv2_super
1049,rbv2_super
1489,rbv2_super
470,rbv2_super
1494,rbv2_super
312,rbv2_super
44,rbv2_super
40982,rbv2_super
41146,rbv2_super
54,rbv2_super
60,rbv2_super
40498,rbv2_super
7593,lcbench
