problem,instance,scenario,target,mean_score
rbv2_svm_40981_acc,40981,rbv2_svm,acc,0.867344840717316
rbv2_svm_40981_bac,40981,rbv2_svm,bac,0.897322388279438
rbv2_svm_40981_auc,40981,rbv2_svm,auc,0.970404428303242
rbv2_svm_40981_logloss,40981,rbv2_svm,logloss,0.347052625054121
rbv2_svm_4134_acc,4134,rbv2_svm,acc,0.771121069514751
rbv2_svm_4134_bac,4134,rbv2_svm,bac,0.775135115945339
rbv2_svm_4134_auc,4134,rbv2_svm,auc,0.900518525004387
rbv2_svm_4134_logloss,4134,rbv2_svm,logloss,0.500832953798771
rbv2_svm_1220_acc,1220,rbv2_svm,acc,0.853224533832073
rbv2_svm_1220_bac,1220,rbv2_svm,bac,0.617722622454166
rbv2_svm_1220_auc,1220,rbv2_svm,auc,0.774288018369675
rbv2_svm_1220_logloss,1220,rbv2_svm,logloss,0.315306177914143
rbv2_svm_40978_acc,40978,rbv2_svm,acc,0.975717467963696
rbv2_svm_40978_bac,40978,rbv2_svm,bac,0.931038679623604
rbv2_svm_40978_auc,40978,rbv2_svm,auc,0.980442096138001
rbv2_svm_40978_logloss,40978,rbv2_svm,logloss,0.11095061763376
rbv2_svm_40966_acc,40966,rbv2_svm,acc,0.998876839768887
rbv2_svm_40966_bac,40966,rbv2_svm,bac,0.998489171266556
rbv2_svm_40966_auc,40966,rbv2_svm,auc,0.999962546920776
rbv2_svm_40966_logloss,40966,rbv2_svm,logloss,0.0183889889521524
rbv2_svm_40536_acc,40536,rbv2_svm,acc,0.865367682719231
rbv2_svm_40536_bac,40536,rbv2_svm,bac,0.694755877542496
rbv2_svm_40536_auc,40536,rbv2_svm,auc,0.887569156110287
rbv2_svm_40536_logloss,40536,rbv2_svm,logloss,0.318919180738926
rbv2_svm_41156_acc,41156,rbv2_svm,acc,0.846253504109383
rbv2_svm_41156_bac,41156,rbv2_svm,bac,0.747219389665127
rbv2_svm_41156_auc,41156,rbv2_svm,auc,0.894621656322479
rbv2_svm_41156_logloss,41156,rbv2_svm,logloss,0.356498031133413
rbv2_svm_458_acc,458,rbv2_svm,acc,0.998361288821697
rbv2_svm_458_bac,458,rbv2_svm,bac,0.996830035448074
rbv2_svm_458_auc,458,rbv2_svm,auc,0.999953008270264
rbv2_svm_458_logloss,458,rbv2_svm,logloss,0.0173520187191665
rbv2_svm_41157_acc,41157,rbv2_svm,acc,0.868627544474602
rbv2_svm_41157_bac,41157,rbv2_svm,bac,0.905776171350479
rbv2_svm_41157_auc,41157,rbv2_svm,auc,0.99130514318943
rbv2_svm_41157_logloss,41157,rbv2_svm,logloss,0.264131518313289
rbv2_svm_40975_acc,40975,rbv2_svm,acc,0.998725879859924
rbv2_svm_40975_bac,40975,rbv2_svm,bac,0.995516674864292
rbv2_svm_40975_auc,40975,rbv2_svm,auc,0.999883164584637
rbv2_svm_40975_logloss,40975,rbv2_svm,logloss,0.0110906717220321
rbv2_svm_40994_acc,40994,rbv2_svm,acc,0.942035578548908
rbv2_svm_40994_bac,40994,rbv2_svm,bac,0.741006854200363
rbv2_svm_40994_auc,40994,rbv2_svm,auc,0.949064132857323
rbv2_svm_40994_logloss,40994,rbv2_svm,logloss,0.15362116124332
rbv2_svm_1468_acc,1468,rbv2_svm,acc,0.949081471633911
rbv2_svm_1468_bac,1468,rbv2_svm,bac,0.955368576657772
rbv2_svm_1468_auc,1468,rbv2_svm,auc,0.995322056984901
rbv2_svm_1468_logloss,1468,rbv2_svm,logloss,0.210469904485345
rbv2_svm_6332_acc,6332,rbv2_svm,acc,0.846880672514439
rbv2_svm_6332_bac,6332,rbv2_svm,bac,0.860256463265419
rbv2_svm_6332_auc,6332,rbv2_svm,auc,0.970651121544838
rbv2_svm_6332_logloss,6332,rbv2_svm,logloss,0.371840279948711
rbv2_svm_40670_acc,40670,rbv2_svm,acc,0.965240771901608
rbv2_svm_40670_bac,40670,rbv2_svm,bac,0.970033320069313
rbv2_svm_40670_auc,40670,rbv2_svm,auc,0.998049191582203
rbv2_svm_40670_logloss,40670,rbv2_svm,logloss,0.107275959849358
rbv2_svm_151_acc,151,rbv2_svm,acc,0.854355044567585
rbv2_svm_151_bac,151,rbv2_svm,bac,0.832682385933399
rbv2_svm_151_auc,151,rbv2_svm,auc,0.900444812858105
rbv2_svm_151_logloss,151,rbv2_svm,logloss,0.313503893887997
rbv2_svm_1475_acc,1475,rbv2_svm,acc,0.58535061378479
rbv2_svm_1475_bac,1475,rbv2_svm,bac,0.424546810567379
rbv2_svm_1475_auc,1475,rbv2_svm,auc,0.83592335767746
rbv2_svm_1475_logloss,1475,rbv2_svm,logloss,1.21879745631218
rbv2_svm_1476_acc,1476,rbv2_svm,acc,0.996728309702873
rbv2_svm_1476_bac,1476,rbv2_svm,bac,0.9957272767663
rbv2_svm_1476_auc,1476,rbv2_svm,auc,0.999814888513088
rbv2_svm_1476_logloss,1476,rbv2_svm,logloss,0.0272535744540393
rbv2_svm_1478_acc,1478,rbv2_svm,acc,0.99015744729042
rbv2_svm_1478_bac,1478,rbv2_svm,bac,0.991712475562096
rbv2_svm_1478_auc,1478,rbv2_svm,auc,0.999612491607666
rbv2_svm_1478_logloss,1478,rbv2_svm,logloss,0.0314548072949052
rbv2_svm_1479_acc,1479,rbv2_svm,acc,0.765836119294167
rbv2_svm_1479_bac,1479,rbv2_svm,bac,0.758564920318127
rbv2_svm_1479_auc,1479,rbv2_svm,auc,0.932868137609959
rbv2_svm_1479_logloss,1479,rbv2_svm,logloss,0.500389252650738
rbv2_svm_41212_acc,41212,rbv2_svm,acc,0.797570655679703
rbv2_svm_41212_bac,41212,rbv2_svm,bac,0.70702781304121
rbv2_svm_41212_auc,41212,rbv2_svm,auc,0.96296012866497
rbv2_svm_41212_logloss,41212,rbv2_svm,logloss,0.569735962796211
rbv2_svm_1480_acc,1480,rbv2_svm,acc,0.736577085888386
rbv2_svm_1480_bac,1480,rbv2_svm,bac,0.56358189291954
rbv2_svm_1480_auc,1480,rbv2_svm,auc,0.756697344887257
rbv2_svm_1480_logloss,1480,rbv2_svm,logloss,0.519571873837709
rbv2_svm_1053_acc,1053,rbv2_svm,acc,0.824546396875381
