problem,instance,scenario,target,score
rbv2_svm_40981_acc,40981,rbv2_svm,acc,0.87730747461319
rbv2_svm_40981_bac,40981,rbv2_svm,bac,0.917443335056305
rbv2_svm_40981_auc,40981,rbv2_svm,auc,0.981328129768372
rbv2_svm_40981_logloss,40981,rbv2_svm,logloss,0.312536150217056
rbv2_svm_4134_acc,4134,rbv2_svm,acc,0.77949070930481
rbv2_svm_4134_bac,4134,rbv2_svm,bac,0.8204465508461
rbv2_svm_4134_auc,4134,rbv2_svm,auc,0.920719683170319
rbv2_svm_4134_logloss,4134,rbv2_svm,logloss,0.42753878235817
rbv2_svm_1220_acc,1220,rbv2_svm,acc,0.860995531082153
rbv2_svm_1220_bac,1220,rbv2_svm,bac,0.647898674011231
rbv2_svm_1220_auc,1220,rbv2_svm,auc,0.784226596355438
rbv2_svm_1220_logloss,1220,rbv2_svm,logloss,0.307113856077194
rbv2_svm_40978_acc,40978,rbv2_svm,acc,0.976093411445618
rbv2_svm_40978_bac,40978,rbv2_svm,bac,0.933200061321259
rbv2_svm_40978_auc,40978,rbv2_svm,auc,0.981872916221619
rbv2_svm_40978_logloss,40978,rbv2_svm,logloss,0.109784707427025
rbv2_svm_40966_acc,40966,rbv2_svm,acc,0.999171018600464
rbv2_svm_40966_bac,40966,rbv2_svm,bac,0.998858153820038
rbv2_svm_40966_auc,40966,rbv2_svm,auc,0.999973297119141
rbv2_svm_40966_logloss,40966,rbv2_svm,logloss,0.0137621480971575
rbv2_svm_40536_acc,40536,rbv2_svm,acc,0.874833345413208
rbv2_svm_40536_bac,40536,rbv2_svm,bac,0.709081828594208
rbv2_svm_40536_auc,40536,rbv2_svm,auc,0.924813508987427
rbv2_svm_40536_logloss,40536,rbv2_svm,logloss,0.307388573884964
rbv2_svm_41156_acc,41156,rbv2_svm,acc,0.846998810768127
rbv2_svm_41156_bac,41156,rbv2_svm,bac,0.755672216415405
rbv2_svm_41156_auc,41156,rbv2_svm,auc,0.904768049716949
rbv2_svm_41156_logloss,41156,rbv2_svm,logloss,0.355850130319595
rbv2_svm_458_acc,458,rbv2_svm,acc,0.998651742935181
rbv2_svm_458_bac,458,rbv2_svm,bac,0.997487366199493
rbv2_svm_458_auc,458,rbv2_svm,auc,0.999958038330078
rbv2_svm_458_logloss,458,rbv2_svm,logloss,0.0160039272159338
rbv2_svm_41157_acc,41157,rbv2_svm,acc,0.878904044628143
rbv2_svm_41157_bac,41157,rbv2_svm,bac,0.937544286251068
rbv2_svm_41157_auc,41157,rbv2_svm,auc,0.998896241188049
rbv2_svm_41157_logloss,41157,rbv2_svm,logloss,0.199796348810196
rbv2_svm_40975_acc,40975,rbv2_svm,acc,0.999289274215698
rbv2_svm_40975_bac,40975,rbv2_svm,bac,0.998111605644226
rbv2_svm_40975_auc,40975,rbv2_svm,auc,0.999967575073242
rbv2_svm_40975_logloss,40975,rbv2_svm,logloss,0.00819190684705973
rbv2_svm_40994_acc,40994,rbv2_svm,acc,0.94947749376297
rbv2_svm_40994_bac,40994,rbv2_svm,bac,0.770888209342957
rbv2_svm_40994_auc,40994,rbv2_svm,auc,0.971341133117676
rbv2_svm_40994_logloss,40994,rbv2_svm,logloss,0.150006175041199
rbv2_svm_1468_acc,1468,rbv2_svm,acc,0.952466011047363
rbv2_svm_1468_bac,1468,rbv2_svm,bac,0.959991753101349
rbv2_svm_1468_auc,1468,rbv2_svm,auc,0.996715247631073
rbv2_svm_1468_logloss,1468,rbv2_svm,logloss,0.203325763344765
rbv2_svm_6332_acc,6332,rbv2_svm,acc,0.865400075912476
rbv2_svm_6332_bac,6332,rbv2_svm,bac,0.8731809258461
rbv2_svm_6332_auc,6332,rbv2_svm,auc,0.97586852312088
rbv2_svm_6332_logloss,6332,rbv2_svm,logloss,0.333909064531326
rbv2_svm_40670_acc,40670,rbv2_svm,acc,0.968862295150757
