job_id,problem,instance,scenario,target,mean_score,sd_score
1,rbv2_svm_40981_acc,40981,rbv2_svm,acc,-0.867344840717316,0.00290504477134379
2,rbv2_svm_40981_bac,40981,rbv2_svm,bac,-0.897322388279438,0.00671495690878554
3,rbv2_svm_40981_auc,40981,rbv2_svm,auc,-0.970404428303242,0.00485784654516062
4,rbv2_svm_40981_logloss,40981,rbv2_svm,logloss,0.347052625054121,0.00869693218595112
5,rbv2_svm_4134_acc,4134,rbv2_svm,acc,-0.771121069514751,0.00209695755216923
6,rbv2_svm_4134_bac,4134,rbv2_svm,bac,-0.775135115945339,0.0129865316367
7,rbv2_svm_4134_auc,4134,rbv2_svm,auc,-0.900518525004387,0.00721980646671597
8,rbv2_svm_4134_logloss,4134,rbv2_svm,logloss,0.500832953798771,0.0229275408931474
9,rbv2_svm_1220_acc,1220,rbv2_svm,acc,-0.853224533832073,0.00298620462048139
10,rbv2_svm_1220_bac,1220,rbv2_svm,bac,-0.617722622454166,0.00909932437387115
11,rbv2_svm_1220_auc,1220,rbv2_svm,auc,-0.774288018369675,0.0049877551337797
12,rbv2_svm_1220_logloss,1220,rbv2_svm,logloss,0.315306177914143,0.0057908293923206
13,rbv2_svm_40978_acc,40978,rbv2_svm,acc,-0.975717467963696,0.000344191047154561
14,rbv2_svm_40978_bac,40978,rbv2_svm,bac,-0.931038679623604,0.000911362223476325
15,rbv2_svm_40978_auc,40978,rbv2_svm,auc,-0.980442096138001,0.000401403922999706
16,rbv2_svm_40978_logloss,40978,rbv2_svm,logloss,0.11095061763376,0.000896116052461326
17,rbv2_svm_40966_acc,40966,rbv2_svm,acc,-0.998876839768887,0.000114830917149414
18,rbv2_svm_40966_bac,40966,rbv2_svm,bac,-0.998489171266556,0.000170889472181887
19,rbv2_svm_40966_auc,40966,rbv2_svm,auc,-0.999962546920776,6.4669382382773e-06
20,rbv2_svm_40966_logloss,40966,rbv2_svm,logloss,0.0183889889521524,0.0019109674765159
21,rbv2_svm_40536_acc,40536,rbv2_svm,acc,-0.865367682719231,0.00299961279698697
22,rbv2_svm_40536_bac,40536,rbv2_svm,bac,-0.694755877542496,0.00862882858136079
23,rbv2_svm_40536_auc,40536,rbv2_svm,auc,-0.887569156110287,0.0114510237175431
24,rbv2_svm_40536_logloss,40536,rbv2_svm,logloss,0.318919180738926,0.00702001570860987
25,rbv2_svm_41156_acc,41156,rbv2_svm,acc,-0.846253504109383,0.000743277597250231
26,rbv2_svm_41156_bac,41156,rbv2_svm,bac,-0.747219389665127,0.00388000085279007
27,rbv2_svm_41156_auc,41156,rbv2_svm,auc,-0.894621656322479,0.00272179144939252
28,rbv2_svm_41156_logloss,41156,rbv2_svm,logloss,0.356498031133413,0.00054506303453935
29,rbv2_svm_458_acc,458,rbv2_svm,acc,-0.998361288821697,0.000152909748543481
30,rbv2_svm_458_bac,458,rbv2_svm,bac,-0.996830035448074,0.000260177369960124
31,rbv2_svm_458_auc,458,rbv2_svm,auc,-0.999953008270264,1.9336618376472e-06
32,rbv2_svm_458_logloss,458,rbv2_svm,logloss,0.0173520187191665,0.000847114237881119
33,rbv2_svm_41157_acc,41157,rbv2_svm,acc,-0.868627544474602,0.00721078099982968
34,rbv2_svm_41157_bac,41157,rbv2_svm,bac,-0.905776171350479,0.0158806480509034
35,rbv2_svm_41157_auc,41157,rbv2_svm,auc,-0.99130514318943,0.00850595499812258
36,rbv2_svm_41157_logloss,41157,rbv2_svm,logloss,0.264131518313289,0.028885265969526
37,rbv2_svm_40975_acc,40975,rbv2_svm,acc,-0.998725879859924,0.000453400957353717
38,rbv2_svm_40975_bac,40975,rbv2_svm,bac,-0.995516674864292,0.00189444400309191
39,rbv2_svm_40975_auc,40975,rbv2_svm,auc,-0.999883164584637,5.96649669489238e-05
40,rbv2_svm_40975_logloss,40975,rbv2_svm,logloss,0.0110906717220321,0.00269462137002773
41,rbv2_svm_40994_acc,40994,rbv2_svm,acc,-0.942035578548908,0.00222527535417186
42,rbv2_svm_40994_bac,40994,rbv2_svm,bac,-0.741006854200363,0.00499354763318852
43,rbv2_svm_40994_auc,40994,rbv2_svm,auc,-0.949064132857323,0.00296995112775546
44,rbv2_svm_40994_logloss,40994,rbv2_svm,logloss,0.15362116124332,0.00121221576375688
45,rbv2_svm_1468_acc,1468,rbv2_svm,acc,-0.949081471633911,0.00165730788564102
46,rbv2_svm_1468_bac,1468,rbv2_svm,bac,-0.955368576657772,0.00236452108369581
47,rbv2_svm_1468_auc,1468,rbv2_svm,auc,-0.995322056984901,0.000251231708204521
48,rbv2_svm_1468_logloss,1468,rbv2_svm,logloss,0.210469904485345,0.00351044857352137
49,rbv2_svm_6332_acc,6332,rbv2_svm,acc,-0.846880672514439,0.00528953583219829
50,rbv2_svm_6332_bac,6332,rbv2_svm,bac,-0.860256463265419,0.00659025017545331
51,rbv2_svm_6332_auc,6332,rbv2_svm,auc,-0.970651121544838,0.0024428881376078
52,rbv2_svm_6332_logloss,6332,rbv2_svm,logloss,0.371840279948711,0.00978602576305748
53,rbv2_svm_40670_acc,40670,rbv2_svm,acc,-0.965240771901608,0.00147409470718322
54,rbv2_svm_40670_bac,40670,rbv2_svm,bac,-0.970033320069313,0.00183538542145193
55,rbv2_svm_40670_auc,40670,rbv2_svm,auc,-0.998049191582203,0.000538250642960921
56,rbv2_svm_40670_logloss,40670,rbv2_svm,logloss,0.107275959849358,0.00696959729473136
57,rbv2_svm_151_acc,151,rbv2_svm,acc,-0.854355044567585,0.00514609328500993
58,rbv2_svm_151_bac,151,rbv2_svm,bac,-0.832682385933399,0.0060923797794416
59,rbv2_svm_151_auc,151,rbv2_svm,auc,-0.900444812858105,0.00726205365156095
60,rbv2_svm_151_logloss,151,rbv2_svm,logloss,0.313503893887997,0.0115330027531197
61,rbv2_svm_1475_acc,1475,rbv2_svm,acc,-0.58535061378479,0.004609395965793
62,rbv2_svm_1475_bac,1475,rbv2_svm,bac,-0.424546810567379,0.00811248131825961
63,rbv2_svm_1475_auc,1475,rbv2_svm,auc,-0.83592335767746,0.004767465064217
64,rbv2_svm_1475_logloss,1475,rbv2_svm,logloss,1.21879745631218,0.0130196551311628
65,rbv2_svm_1476_acc,1476,rbv2_svm,acc,-0.996728309702873,0.00091669901715921
66,rbv2_svm_1476_bac,1476,rbv2_svm,bac,-0.9957272767663,0.000724130092699974
