scenario,instance,target_variable,orig_direction,rs_small,se_rs_small,rs_large
lcbench,167168,val_accuracy,maximize,-82.0859052022298,0.45770071919071,-88.920051574707
lcbench,189873,val_accuracy,maximize,-83.1212254842123,0.725452432372426,-96.1931915283203
lcbench,189906,val_accuracy,maximize,-88.1219131469727,0.257812637687679,-94.3204116821289
nb301,CIFAR10,val_accuracy,maximize,-94.2242965698242,0.0503937202644783,-95.1620330810547
rbv2_rpart,14,acc,maximize,-0.766020037730535,0.00209496537961017,-0.801772713661194
rbv2_rpart,40499,acc,maximize,-0.864853024482727,0.00130367029516088,-0.885511636734009
rbv2_ranger,16,acc,maximize,-0.960247200727463,0.000656758027719256,-0.970949411392212
rbv2_ranger,42,acc,maximize,-0.987809048096339,0.000456614274833174,-0.993796110153198
rbv2_xgboost,12,acc,maximize,-0.986051720380783,0.00119675613531985,-1
rbv2_xgboost,1501,acc,maximize,-0.928611167271932,0.0022739676603276,-0.999424159526825
rbv2_xgboost,16,acc,maximize,-0.97173997759819,0.000654771955133862,-0.999992370605469
rbv2_super,1457,acc,maximize,-0.807739082972209,0.00152433086849891,-0.844422996044159
rbv2_super,1063,acc,maximize,-0.904712873697281,0.00289278426258865,-0.965861618518829
rbv2_super,15,acc,maximize,-0.983420477310817,0.000454577747682996,-0.993117272853851
