scenario,instance,target_variable,orig_direction,rs_small,se_rs_small,rs_large
lcbench,167168,val_accuracy,maximize,-82.1767570495606,0.455339149028296,-88.920051574707
lcbench,189873,val_accuracy,maximize,-84.9179796854655,0.695428567121287,-96.1931915283203
lcbench,189906,val_accuracy,maximize,-89.305130259196,0.193822293211652,-94.3204116821289
nb301,CIFAR10,val_accuracy,maximize,-94.1925216674805,0.035385021001123,-95.1620330810547
rbv2_rpart,14,acc,maximize,-0.768275022506714,0.00227418496135548,-0.801772713661194
rbv2_rpart,40499,acc,maximize,-0.869411243995031,0.000968278844725087,-0.885511636734009
rbv2_ranger,16,acc,maximize,-0.962263143062592,0.000526605081509312,-0.970949411392212
rbv2_ranger,42,acc,maximize,-0.989086141188939,0.000353579957360672,-0.993796110153198
rbv2_xgboost,12,acc,maximize,-0.984484243392944,0.000593302468842636,-1
rbv2_xgboost,1501,acc,maximize,-0.934263807535172,0.00143910638336954,-0.999424159526825
rbv2_xgboost,16,acc,maximize,-0.974619535605113,0.000829476223104896,-0.999992370605469
rbv2_super,1457,acc,maximize,-0.807809631029765,0.000812296260741903,-0.844422996044159
rbv2_super,1063,acc,maximize,-0.906214243173599,0.0028711554339304,-0.965861618518829
rbv2_super,15,acc,maximize,-0.98367556532224,0.000380514108471764,-0.993117272853851
