algorithm,scenario,instance,best,repl
mlr3mbo,lcbench,167168,-89.4125747680664,1
mlr3mbo,lcbench,167168,-89.4187164306641,2
mlr3mbo,lcbench,167168,-89.2275619506836,3
mlr3mbo,lcbench,167168,-89.2044143676758,4
mlr3mbo,lcbench,167168,-89.2786254882813,5
mlr3mbo,lcbench,167168,-89.3007736206055,6
mlr3mbo,lcbench,167168,-89.1894454956055,7
mlr3mbo,lcbench,167168,-89.2898712158203,8
mlr3mbo,lcbench,167168,-88.3668441772461,9
mlr3mbo,lcbench,167168,-86.941764831543,10
mlr3mbo,lcbench,167168,-89.3655166625977,11
mlr3mbo,lcbench,167168,-88.9091949462891,12
mlr3mbo,lcbench,167168,-89.3907470703125,13
mlr3mbo,lcbench,167168,-89.0259475708008,14
mlr3mbo,lcbench,167168,-88.8722305297852,15
mlr3mbo,lcbench,167168,-89.1071472167969,16
mlr3mbo,lcbench,167168,-88.6551895141602,17
mlr3mbo,lcbench,167168,-89.0378341674805,18
mlr3mbo,lcbench,167168,-89.0364761352539,19
mlr3mbo,lcbench,167168,-89.1357040405273,20
mlr3mbo,lcbench,167168,-87.4336700439453,21
mlr3mbo,lcbench,167168,-88.9441375732422,22
mlr3mbo,lcbench,167168,-88.7814254760742,23
mlr3mbo,lcbench,167168,-88.9960632324219,24
mlr3mbo,lcbench,167168,-88.0025253295898,25
mlr3mbo,lcbench,167168,-88.238166809082,26
mlr3mbo,lcbench,167168,-88.9689102172852,27
mlr3mbo,lcbench,167168,-88.3307800292969,28
mlr3mbo,lcbench,167168,-88.9600830078125,29
mlr3mbo,lcbench,167168,-88.8634185791016,30
mlr3mbo,lcbench,167168,-88.3836975097656,31
mlr3mbo,lcbench,167168,-89.2272186279297,32
mlr3mbo,lcbench,167168,-89.1911468505859,33
mlr3mbo,lcbench,167168,-88.9475326538086,34
mlr3mbo,lcbench,167168,-88.9186935424805,35
mlr3mbo,lcbench,167168,-89.0622863769531,36
mlr3mbo,lcbench,167168,-88.9258193969727,37
mlr3mbo,lcbench,167168,-88.847152709961,38
mlr3mbo,lcbench,167168,-89.3259811401367,39
mlr3mbo,lcbench,167168,-89.0439453125,40
mlr3mbo,lcbench,167168,-89.154411315918,41
mlr3mbo,lcbench,167168,-89.3539276123047,42
mlr3mbo,lcbench,167168,-88.8457946777344,43
mlr3mbo,lcbench,167168,-89.0096435546875,44
mlr3mbo,lcbench,167168,-89.0554962158203,45
mlr3mbo,lcbench,167168,-88.8552856445313,46
mlr3mbo,lcbench,167168,-89.0497207641602,47
mlr3mbo,lcbench,167168,-89.3038330078125,48
mlr3mbo,lcbench,167168,-89.3815460205078,49
mlr3mbo,lcbench,167168,-89.3822250366211,50
mlr3mbo,lcbench,167168,-88.7800674438477,51
mlr3mbo,lcbench,167168,-89.0371551513672,52
mlr3mbo,lcbench,167168,-87.0024795532227,53
mlr3mbo,lcbench,167168,-89.3249588012695,54
mlr3mbo,lcbench,167168,-89.1955718994141,55
mlr3mbo,lcbench,167168,-89.4170074462891,56
mlr3mbo,lcbench,167168,-88.998779296875,57
mlr3mbo,lcbench,167168,-89.0510787963867,58
mlr3mbo,lcbench,167168,-89.4221267700195,59
mlr3mbo,lcbench,167168,-89.3771057128906,60
mlr3mbo,lcbench,167168,-89.0537948608399,61
mlr3mbo,lcbench,167168,-88.9302291870117,62
mlr3mbo,lcbench,167168,-89.0942306518555,63
mlr3mbo,lcbench,167168,-89.1037521362305,64
mlr3mbo,lcbench,167168,-89.0361328125,65
mlr3mbo,lcbench,167168,-89.415641784668,66
mlr3mbo,lcbench,167168,-89.1102066040039,67
mlr3mbo,lcbench,167168,-89.1064682006836,68
mlr3mbo,lcbench,167168,-88.8369827270508,69
mlr3mbo,lcbench,167168,-88.7353744506836,70
mlr3mbo,lcbench,167168,-89.394157409668,71
mlr3mbo,lcbench,167168,-88.3665008544922,72
mlr3mbo,lcbench,167168,-89.323600769043,73
mlr3mbo,lcbench,167168,-88.550407409668,74
mlr3mbo,lcbench,167168,-89.0368118286133,75
mlr3mbo,lcbench,167168,-88.9380264282227,76
mlr3mbo,lcbench,167168,-87.6310119628906,77
mlr3mbo,lcbench,167168,-88.8379974365235,78
mlr3mbo,lcbench,167168,-88.9102172851563,79
mlr3mbo,lcbench,167168,-89.261604309082,80
mlr3mbo,lcbench,167168,-89.2394714355469,81
mlr3mbo,lcbench,167168,-88.8851165771484,82
mlr3mbo,lcbench,167168,-89.3423385620117,83
mlr3mbo,lcbench,167168,-89.0796203613281,84
mlr3mbo,lcbench,167168,-89.1527099609375,85
mlr3mbo,lcbench,167168,-88.9424362182617,86
mlr3mbo,lcbench,167168,-88.5652770996094,87
mlr3mbo,lcbench,167168,-86.9958419799805,88
mlr3mbo,lcbench,167168,-88.7360534667969,89
mlr3mbo,lcbench,167168,-88.9916458129883,90
mlr3mbo,lcbench,167168,-89.1088485717773,91
mlr3mbo,lcbench,167168,-88.994026184082,92
mlr3mbo,lcbench,167168,-89.3829040527344,93
mlr3mbo,lcbench,167168,-88.4201202392578,94
mlr3mbo,lcbench,167168,-88.9906311035156,95
