algorithm,scenario,instance,best,repl
mlr3mbo,lcbench,167168,-89.2735214233399,1
mlr3mbo,lcbench,167168,-89.243896484375,2
mlr3mbo,lcbench,167168,-89.4084854125977,3
mlr3mbo,lcbench,167168,-89.2707977294922,4
mlr3mbo,lcbench,167168,-89.2701187133789,5
mlr3mbo,lcbench,167168,-89.4265594482422,6
mlr3mbo,lcbench,167168,-89.2759017944336,7
mlr3mbo,lcbench,167168,-86.1126251220703,8
mlr3mbo,lcbench,167168,-89.2690963745117,9
mlr3mbo,lcbench,167168,-89.4265594482422,10
mlr3mbo,lcbench,167168,-89.2718200683594,11
mlr3mbo,lcbench,167168,-89.2735214233399,12
mlr3mbo,lcbench,167168,-89.4258804321289,13
mlr3mbo,lcbench,167168,-89.2707977294922,14
mlr3mbo,lcbench,167168,-89.4262161254883,15
mlr3mbo,lcbench,167168,-89.4265594482422,16
mlr3mbo,lcbench,167168,-89.2704544067383,17
mlr3mbo,lcbench,167168,-89.2547912597656,18
mlr3mbo,lcbench,167168,-86.1126251220703,19
mlr3mbo,lcbench,167168,-89.269775390625,20
mlr3mbo,lcbench,167168,-86.1126251220703,21
mlr3mbo,lcbench,167168,-89.2581939697266,22
mlr3mbo,lcbench,167168,-89.2707977294922,23
mlr3mbo,lcbench,167168,-89.4262161254883,24
mlr3mbo,lcbench,167168,-89.2728424072266,25
mlr3mbo,lcbench,167168,-89.2670516967774,26
mlr3mbo,lcbench,167168,-86.1126251220703,27
mlr3mbo,lcbench,167168,-89.425537109375,28
mlr3mbo,lcbench,167168,-89.4262161254883,29
mlr3mbo,lcbench,167168,-89.2735214233399,30
mlr3mbo,lcbench,167168,-89.2728424072266,31
mlr3mbo,lcbench,167168,-89.2724990844727,32
mlr3mbo,lcbench,167168,-89.2735214233399,33
mlr3mbo,lcbench,167168,-89.2714767456055,34
mlr3mbo,lcbench,167168,-89.2752227783203,35
mlr3mbo,lcbench,167168,-89.2690963745117,36
mlr3mbo,lcbench,167168,-89.265007019043,37
mlr3mbo,lcbench,167168,-86.1122970581055,38
mlr3mbo,lcbench,167168,-89.4262161254883,39
mlr3mbo,lcbench,167168,-89.2653503417969,40
mlr3mbo,lcbench,167168,-89.4262161254883,41
mlr3mbo,lcbench,167168,-89.2629623413086,42
mlr3mbo,lcbench,167168,-89.265007019043,43
mlr3mbo,lcbench,167168,-88.95703125,44
mlr3mbo,lcbench,167168,-89.2742004394531,45
mlr3mbo,lcbench,167168,-89.4262161254883,46
mlr3mbo,lcbench,167168,-89.2752227783203,47
mlr3mbo,lcbench,167168,-89.4262161254883,48
mlr3mbo,lcbench,167168,-89.1567916870117,49
mlr3mbo,lcbench,167168,-89.4262161254883,50
mlr3mbo,lcbench,167168,-89.2738647460938,51
mlr3mbo,lcbench,167168,-89.2554702758789,52
mlr3mbo,lcbench,167168,-89.2707977294922,53
mlr3mbo,lcbench,167168,-89.2595596313477,54
mlr3mbo,lcbench,167168,-89.2759017944336,55
mlr3mbo,lcbench,167168,-89.274543762207,56
mlr3mbo,lcbench,167168,-89.4265594482422,57
mlr3mbo,lcbench,167168,-89.2735214233399,58
mlr3mbo,lcbench,167168,-89.2690963745117,59
mlr3mbo,lcbench,167168,-89.4262161254883,60
mlr3mbo,lcbench,167168,-89.2687530517578,61
mlr3mbo,lcbench,167168,-89.0660247802734,62
mlr3mbo,lcbench,167168,-89.2714767456055,63
mlr3mbo,lcbench,167168,-89.2643280029297,64
mlr3mbo,lcbench,167168,-89.2718200683594,65
mlr3mbo,lcbench,167168,-86.6778411865234,66
mlr3mbo,lcbench,167168,-86.1126251220703,67
mlr3mbo,lcbench,167168,-89.2633056640625,68
mlr3mbo,lcbench,167168,-89.2752227783203,69
mlr3mbo,lcbench,167168,-89.2646713256836,70
mlr3mbo,lcbench,167168,-89.2690963745117,71
mlr3mbo,lcbench,167168,-89.4262161254883,72
mlr3mbo,lcbench,167168,-89.2711410522461,73
mlr3mbo,lcbench,167168,-89.2670516967774,74
mlr3mbo,lcbench,167168,-89.2445755004883,75
mlr3mbo,lcbench,167168,-89.2585372924805,76
mlr3mbo,lcbench,167168,-89.2752227783203,77
mlr3mbo,lcbench,167168,-89.2759017944336,78
mlr3mbo,lcbench,167168,-89.2704544067383,79
mlr3mbo,lcbench,167168,-89.269775390625,80
mlr3mbo,lcbench,167168,-89.2670516967774,81
mlr3mbo,lcbench,167168,-89.4262161254883,82
mlr3mbo,lcbench,167168,-89.2724990844727,83
mlr3mbo,lcbench,167168,-89.2759017944336,84
mlr3mbo,lcbench,167168,-89.4258804321289,85
mlr3mbo,lcbench,167168,-89.4262161254883,86
mlr3mbo,lcbench,167168,-89.2718200683594,87
mlr3mbo,lcbench,167168,-89.2667083740234,88
mlr3mbo,lcbench,167168,-89.2673873901367,89
mlr3mbo,lcbench,167168,-89.2721633911133,90
mlr3mbo,lcbench,167168,-89.2724990844727,91
mlr3mbo,lcbench,167168,-89.4265594482422,92
mlr3mbo,lcbench,167168,-89.4262161254883,93
mlr3mbo,lcbench,167168,-89.2759017944336,94
mlr3mbo,lcbench,167168,-89.0667037963867,95
mlr3mbo,lcbench,167168,-86.1126251220703,96
mlr3mbo,lcbench,167168,-89.261604309082,97
mlr3mbo,lcbench,167168,-89.4262161254883,98
mlr3mbo,lcbench,167168,-89.2738647460938,99
mlr3mbo,lcbench,167168,-89.269775390625,100
mlr3mbo,lcbench,167168,-89.2718200683594,101
mlr3mbo,lcbench,167168,-89.2755661010742,102
mlr3mbo,lcbench,167168,-89.2595596313477,103
mlr3mbo,lcbench,167168,-86.1126251220703,104
mlr3mbo,lcbench,167168,-89.2738647460938,105
mlr3mbo,lcbench,167168,-89.2370910644531,106
mlr3mbo,lcbench,167168,-89.0673828125,107
mlr3mbo,lcbench,167168,-89.425537109375,108
mlr3mbo,lcbench,167168,-89.4262161254883,109
mlr3mbo,lcbench,167168,-89.2748870849609,110
mlr3mbo,lcbench,167168,-89.2660293579102,111
mlr3mbo,lcbench,167168,-89.4265594482422,112
mlr3mbo,lcbench,167168,-89.2684097290039,113
mlr3mbo,lcbench,167168,-89.2718200683594,114
mlr3mbo,lcbench,167168,-89.2752227783203,115
mlr3mbo,lcbench,167168,-89.2742004394531,116
mlr3mbo,lcbench,167168,-89.274543762207,117
mlr3mbo,lcbench,167168,-89.2704544067383,118
mlr3mbo,lcbench,167168,-89.4262161254883,119
mlr3mbo,lcbench,167168,-89.2639846801758,120
mlr3mbo,lcbench,167168,-89.2680740356445,121
mlr3mbo,lcbench,167168,-89.2748870849609,122
mlr3mbo,lcbench,167168,-89.274543762207,123
mlr3mbo,lcbench,167168,-89.2694320678711,124
mlr3mbo,lcbench,167168,-89.2622833251953,125
mlr3mbo,lcbench,167168,-86.1126251220703,126
mlr3mbo,lcbench,167168,-89.2718200683594,127
mlr3mbo,lcbench,167168,-89.2609252929688,128
